Project,Model,Task,R_Squared,R_Squared_Adj,MAE,MSE,RMSE,PRED_25,PRED_50,T_Records
gitlabhq,Module_CC,REFACTOR,0.39,0.37,17.56,1184.26,34.41,0.47,0.68,352
gitlabhq,Module_CC,RELEASE,0.52,0.5,2.5,79.21,8.9,0.63,0.75,265
gitlabhq,Module_CC,SUPPORT,0.86,0.85,6.75,129.74,11.39,0.42,0.6,331
gitlabhq,Module_CC,TESTING,0.86,0.86,10.75,394.86,19.87,0.56,0.76,445
gitlabhq,Module_CC,UPGRADE,0.34,0.32,11.25,1886.3,43.43,0.49,0.7,361
gitlabhq,Module_EC,BUG,0.96,0.96,11.32,528.98,23.0,0.67,0.79,797
gitlabhq,Module_EC,DOCS,0.86,0.86,3.55,50.61,7.11,0.6,0.74,531
gitlabhq,Module_EC,FEATURE,0.81,0.8,4.91,172.73,13.14,0.46,0.63,447
gitlabhq,Module_EC,OTHER,0.96,0.96,48.38,15409.43,124.13,0.57,0.67,887
gitlabhq,Module_EC,REFACTOR,0.58,0.56,12.64,727.17,26.97,0.45,0.61,352
gitlabhq,Module_EC,RELEASE,0.72,0.71,1.54,45.31,6.73,0.74,0.85,265
gitlabhq,Module_EC,SUPPORT,0.79,0.78,5.29,142.24,11.93,0.51,0.62,331
gitlabhq,Module_EC,TESTING,0.91,0.91,5.63,163.91,12.8,0.58,0.73,445
gitlabhq,Module_EC,UPGRADE,0.34,0.32,2.54,191.7,13.85,0.54,0.71,361
orleans,Module_CC,BUG,0.99,0.99,16.3,530.44,23.03,0.33,0.48,81
orleans,Module_CC,DOCS,0.71,-0.16,3.26,27.0,5.2,0.4,0.6,20
orleans,Module_CC,FEATURE,0.07,-2.72,54.41,6873.12,82.9,0.2,0.2,18
orleans,Module_CC,OTHER,-0.58,-0.83,586.12,1709606.08,1307.52,0.17,0.26,90
orleans,Module_CC,REFACTOR,0.96,0.96,7.3,69.11,8.31,0.5,0.75,15
orleans,Module_CC,RELEASE,-1.01,-3.02,0.34,0.25,0.5,0.57,0.71,26
orleans,Module_CC,SUPPORT,0.98,0.97,8.07,165.37,12.86,0.46,0.54,50
orleans,Module_CC,TESTING,0.81,0.77,69.58,14803.34,121.67,0.24,0.35,65
orleans,Module_CC,UPGRADE,0.67,-0.32,30.67,2108.03,45.91,0.0,0.8,20
orleans,Module_EC,BUG,0.96,0.95,1.46,13.64,3.69,0.33,0.33,81
orleans,Module_EC,DOCS,0.0,-3.0,0.01,0.0,0.01,0.0,0.0,20
orleans,Module_EC,FEATURE,1.0,1.0,0.0,0.0,0.0,,,18
orleans,Module_EC,OTHER,-0.44,-0.67,17.26,2507.98,50.08,0.15,0.15,90
orleans,Module_EC,REFACTOR,1.0,1.0,0.0,0.0,0.0,,,15
orleans,Module_EC,RELEASE,1.0,1.0,0.0,0.0,0.0,,,26
orleans,Module_EC,SUPPORT,-0.08,-0.44,2.85,105.31,10.26,0.0,0.0,50
orleans,Module_EC,TESTING,0.78,0.73,2.86,110.21,10.5,0.17,0.17,65
orleans,Module_EC,UPGRADE,1.0,1.0,0.0,0.0,0.0,,,20
roslyn,Module_CC,BUG,0.84,0.79,66.77,12077.04,109.9,0.07,0.43,55
roslyn,Module_CC,DOCS,-0.17,-1.34,802.74,4456796.39,2111.11,0.29,0.29,28
roslyn,Module_CC,FEATURE,0.22,-0.25,67.09,14035.17,118.47,0.22,0.33,33
roslyn,Module_CC,OTHER,-0.25,-0.56,429.27,512032.04,715.56,0.31,0.38,61
roslyn,Module_CC,REFACTOR,0.42,0.07,63.08,7349.58,85.73,0.0,0.33,35
roslyn,Module_CC,RELEASE,0.14,-0.5,9.21,122.63,11.07,0.0,0.12,29
roslyn,Module_CC,SUPPORT,0.23,-0.1,131.2,44229.72,210.31,0.09,0.27,41
roslyn,Module_CC,TESTING,0.74,0.64,144.37,36553.64,191.19,0.25,0.67,45
roslyn,Module_CC,UPGRADE,-47.79,-84.38,49.22,7524.44,86.74,0.0,0.25,30
roslyn,Module_EC,BUG,0.59,0.47,612.35,1785544.96,1336.24,0.08,0.08,55
roslyn,Module_EC,DOCS,0.47,-0.06,12.87,499.12,22.34,0.25,0.25,28
roslyn,Module_EC,FEATURE,-0.12,-0.79,963.55,3160992.39,1777.92,0.0,0.33,33
roslyn,Module_EC,OTHER,0.6,0.5,1100.05,7790732.36,2791.19,0.14,0.36,61
roslyn,Module_EC,REFACTOR,0.27,-0.17,279.08,599916.14,774.54,0.17,0.33,35
roslyn,Module_EC,RELEASE,-6.06,-11.35,17.41,800.84,28.3,0.2,0.4,29
roslyn,Module_EC,SUPPORT,0.6,0.43,870.99,1396426.27,1181.7,0.0,0.12,41
roslyn,Module_EC,TESTING,0.25,-0.03,755.84,1296671.15,1138.71,0.0,0.09,45
roslyn,Module_EC,UPGRADE,0.14,-0.5,77.65,22845.33,151.15,0.25,0.25,30
ansible,Module_CC,BUG,0.97,0.97,71.27,32352.9,179.87,0.65,0.79,246
ansible,Module_CC,DOCS,0.92,0.91,57.75,12556.86,112.06,0.56,0.73,180
ansible,Module_CC,FEATURE,0.95,0.94,3.43,35.87,5.99,0.69,0.75,125
ansible,Module_CC,OTHER,0.96,0.96,190.68,245218.19,495.2,0.58,0.75,266
ansible,Module_CC,REFACTOR,0.99,0.99,5.79,185.78,13.63,0.74,0.77,122
ansible,Module_CC,RELEASE,0.97,0.97,4.36,44.16,6.65,0.63,0.89,251
ansible,Module_CC,SUPPORT,1.0,1.0,4.52,58.92,7.68,0.76,0.8,182
ansible,Module_CC,TESTING,0.91,0.9,86.9,51169.4,226.21,0.63,0.83,214
ansible,Module_CC,UPGRADE,0.92,0.91,2.79,22.98,4.79,0.72,0.77,154
ansible,Module_EC,BUG,0.98,0.98,398.23,1501646.37,1225.42,0.69,0.78,246
ansible,Module_EC,DOCS,0.86,0.85,489.47,6157785.52,2481.49,0.62,0.88,180
ansible,Module_EC,FEATURE,0.98,0.98,30.5,4739.57,68.84,0.77,0.91,125
ansible,Module_EC,OTHER,0.97,0.97,870.26,8912433.35,2985.37,0.63,0.79,266
ansible,Module_EC,REFACTOR,1.0,1.0,2.22,37.33,6.11,0.65,0.7,122
ansible,Module_EC,RELEASE,0.97,0.97,0.86,14.9,3.86,0.65,0.71,251
