Project,Model,Task,R_Squared,R_Squared_Adj,MAE,MSE,RMSE,PRED_25,PRED_50,T_Records
gitlabhq,Line_EC,UPGRADE,0.37,0.36,947.7,6900715.99,2626.92,0.1,0.19,361
orleans,Line_CC,BUG,0.99,0.99,225.12,114650.97,338.6,0.33,0.38,81
orleans,Line_CC,DOCS,0.41,-0.18,84.97,17887.18,133.74,0.4,0.4,20
orleans,Line_CC,FEATURE,0.13,-0.74,687.66,946535.41,972.9,0.2,0.2,18
orleans,Line_CC,OTHER,-1.27,-1.5,18772.11,1305535396.4,36132.19,0.13,0.35,90
orleans,Line_CC,REFACTOR,-0.01,-2.03,712.1,591804.12,769.29,0.0,0.25,15
orleans,Line_CC,RELEASE,0.84,0.76,11.02,298.92,17.29,0.57,0.57,26
orleans,Line_CC,SUPPORT,0.99,0.99,198.82,126661.67,355.9,0.54,0.62,50
orleans,Line_CC,TESTING,0.82,0.79,1083.93,2957406.74,1719.71,0.18,0.18,65
orleans,Line_CC,UPGRADE,0.64,0.28,173.66,69775.84,264.15,0.6,1.0,20
orleans,Line_EC,BUG,0.92,0.91,16.4,2456.56,49.56,0.5,0.5,81
orleans,Line_EC,DOCS,1.0,1.0,0.0,0.0,0.0,,,20
orleans,Line_EC,FEATURE,1.0,1.0,0.0,0.0,0.0,,,18
orleans,Line_EC,OTHER,-0.99,-1.19,979.13,9078042.64,3012.98,0.0,0.1,90
orleans,Line_EC,REFACTOR,1.0,1.0,0.0,0.0,0.0,,,15
orleans,Line_EC,RELEASE,1.0,1.0,0.0,0.0,0.0,,,26
orleans,Line_EC,SUPPORT,-0.08,-0.3,113.77,168264.69,410.2,0.0,0.0,50
orleans,Line_EC,TESTING,0.68,0.63,11.48,814.32,28.54,0.25,0.25,65
orleans,Line_EC,UPGRADE,1.0,1.0,0.0,0.0,0.0,,,20
roslyn,Line_CC,BUG,0.1,-0.06,9982.04,537863280.51,23191.88,0.0,0.21,55
roslyn,Line_CC,DOCS,0.21,-0.19,139.9,56427.08,237.54,0.29,0.29,28
roslyn,Line_CC,FEATURE,-57.57,-77.09,7427.43,247458953.87,15730.83,0.22,0.33,33
roslyn,Line_CC,OTHER,-3.89,-4.64,66132.47,24063237373.08,155123.3,0.19,0.25,61
roslyn,Line_CC,REFACTOR,-0.24,-0.65,3599.59,38803144.68,6229.22,0.22,0.44,35
roslyn,Line_CC,RELEASE,-100.31,-140.83,196.84,69880.91,264.35,0.12,0.38,29
roslyn,Line_CC,SUPPORT,-1.94,-2.68,13594.93,509710271.18,22576.76,0.27,0.36,41
roslyn,Line_CC,TESTING,0.02,-0.2,14725.73,296048057.76,17206.05,0.08,0.17,45
roslyn,Line_CC,UPGRADE,-5.04,-7.46,456.71,316701.78,562.76,0.0,0.0,30
roslyn,Line_EC,BUG,0.81,0.78,12355.91,671390412.8,25911.2,0.18,0.27,55
roslyn,Line_EC,DOCS,-8.64,-13.46,986.52,2721118.99,1649.58,0.0,0.0,28
roslyn,Line_EC,FEATURE,-0.07,-0.43,20365.74,1056804351.97,32508.53,0.17,0.17,33
roslyn,Line_EC,OTHER,0.57,0.5,57677.8,18424129103.63,135735.51,0.0,0.38,61
roslyn,Line_EC,REFACTOR,-0.02,-0.36,27181.18,5676180374.98,75340.43,0.2,0.2,35
roslyn,Line_EC,RELEASE,-123.24,-172.94,191.44,120263.54,346.79,0.0,0.0,29
roslyn,Line_EC,SUPPORT,-12.14,-15.42,242442.22,175085775181.0,418432.52,0.0,0.0,41
roslyn,Line_EC,TESTING,-9.08,-11.32,139368.27,74642981162.96,273208.68,0.11,0.33,45
roslyn,Line_EC,UPGRADE,-4.02,-6.03,3299.26,43888355.61,6624.83,0.0,0.0,30
ansible,Line_CC,BUG,0.94,0.94,2417.04,32195583.6,5674.12,0.45,0.56,246
ansible,Line_CC,DOCS,0.58,0.56,3556.21,53596929.24,7320.99,0.51,0.64,180
ansible,Line_CC,FEATURE,0.84,0.83,470.47,607984.14,779.73,0.58,0.74,125
ansible,Line_CC,OTHER,0.89,0.89,15873.49,1451604254.86,38099.92,0.36,0.52,266
ansible,Line_CC,REFACTOR,0.94,0.94,492.86,2324728.7,1524.71,0.77,0.81,122
ansible,Line_CC,RELEASE,0.66,0.65,229.59,204810.7,452.56,0.41,0.49,251
ansible,Line_CC,SUPPORT,0.98,0.98,388.26,590471.97,768.42,0.57,0.76,182
ansible,Line_CC,TESTING,0.83,0.82,3325.13,71805785.98,8473.83,0.44,0.57,214
ansible,Line_CC,UPGRADE,0.79,0.78,136.75,55392.25,235.36,0.46,0.62,154
ansible,Line_EC,BUG,0.99,0.99,7703.29,378617672.74,19458.1,0.62,0.73,246
ansible,Line_EC,DOCS,0.55,0.53,28453.67,14173331770.09,119051.8,0.65,0.81,180
ansible,Line_EC,FEATURE,0.94,0.94,3766.99,58287238.55,7634.61,0.68,0.82,125
ansible,Line_EC,OTHER,0.95,0.95,51884.76,34117635353.27,184709.6,0.59,0.65,266
ansible,Line_EC,REFACTOR,1.0,1.0,1173.97,14556815.14,3815.34,0.56,0.62,122
ansible,Line_EC,RELEASE,0.93,0.93,12.1,4774.45,69.1,0.85,0.92,251
ansible,Line_EC,SUPPORT,1.0,1.0,690.83,4200116.49,2049.42,0.9,0.9,182
ansible,Line_EC,TESTING,0.88,0.88,16794.34,2983561791.91,54621.99,0.69,0.88,214
ansible,Line_EC,UPGRADE,0.9,0.89,296.08,1137285.96,1066.44,0.64,0.68,154
cli,Line_CC,BUG,0.32,0.05,325.91,131958.87,363.26,0.0,0.38,32
cli,Line_CC,DOCS,-52.23,-52.23,187.08,39322.06,198.3,0.0,0.0,11
cli,Line_CC,FEATURE,-0.21,-0.21,1023.19,3102062.54,1761.27,0.33,0.33,10
cli,Line_CC,OTHER,-17.48,-23.64,147788.43,83634387135.67,289196.1,0.22,0.33,36
cli,Line_CC,REFACTOR,-1.59,-2.88,2309.38,5580826.52,2362.38,0.0,0.14,25
cli,Line_CC,RELEASE,-17.67,-55.01,179.93,41049.72,202.61,0.0,0.0,13
cli,Line_CC,SUPPORT,-0.29,-1.15,1140.06,1643205.7,1281.88,0.0,0.17,21
cli,Line_CC,TESTING,-0.13,-0.51,100933.03,85341477856.52,292132.64,0.11,0.44,33
cli,Line_CC,UPGRADE,-0.73,-1.88,433.89,503358.57,709.48,0.17,0.17,21
cli,Line_EC,BUG,0.72,0.61,124.59,38775.18,196.91,0.0,0.4,32
cli,Line_EC,DOCS,-80.91,-80.91,15.25,655.29,25.6,0.0,0.0,11
cli,Line_EC,FEATURE,-0.12,-0.12,1094.94,3596666.21,1896.49,0.0,0.0,10
cli,Line_EC,OTHER,0.17,-0.11,8053.94,381573226.66,19533.9,0.11,0.22,36
cli,Line_EC,REFACTOR,0.11,-0.34,393.79,304481.86,551.8,0.4,0.4,25
cli,Line_EC,RELEASE,0.15,-1.55,44.8,4716.61,68.68,0.0,0.5,13
cli,Line_EC,SUPPORT,-6.18,-10.97,220.98,157123.13,396.39,0.0,0.0,21
cli,Line_EC,TESTING,-0.01,-0.35,2244.7,36428186.9,6035.58,0.0,0.0,33
cli,Line_EC,UPGRADE,-174.74,-291.9,3026.4,54853875.06,7406.34,0.0,0.0,21
nova,Line_CC,BUG,0.2,0.17,10021.23,634650187.34,25192.26,0.39,0.49,204
nova,Line_CC,DOCS,0.7,0.68,1169.83,3578475.12,1891.69,0.34,0.54,139
nova,Line_CC,FEATURE,0.65,0.62,177.15,99457.91,315.37,0.38,0.71,94
nova,Line_CC,OTHER,0.19,0.16,365150.39,977244969044.37,988557.01,0.13,0.31,207
nova,Line_CC,REFACTOR,0.67,0.65,851.48,2092493.22,1446.55,0.45,0.76,132
