Project,Model,Task,R_Squared,R_Squared_X,R_Squared_Adj,MAE,MSE,RMSE,PRED_25,PRED_25_X,PRED_50,PRED_50_X,T_Records
tensorflow,Module_EC,SUPPORT,0.78,,0.69,94.91,64803.04,254.56,0.45,0.52,0.73,0.74,42
tensorflow,Module_CC,OTHER,0.88,,0.86,664.42,1555106.67,1247.04,0.35,0.34,0.52,0.49,90
tensorflow,Module_EC,OTHER,0.35,,0.25,3233.15,75503031.54,8689.25,0.09,0.07,0.17,0.2,90
moby,Module_CC,BUG,0.12,,-0.41,9.35,304.4,17.45,0.44,0.18,0.56,0.26,34
moby,Module_EC,BUG,0.32,,-0.09,3.8,52.17,7.22,0.11,0.03,0.22,0.06,34
moby,Module_CC,DOCS,0.94,,0.85,0.09,0.03,0.18,0.25,0.0,0.25,0.0,22
moby,Module_EC,DOCS,1.0,,1.0,0.0,0.0,0.0,,,,,22
moby,Module_CC,REFACTOR,0.0,,-1.5,1.07,3.86,1.96,0.0,0.43,0.0,0.43,23
moby,Module_EC,REFACTOR,1.0,,1.0,0.0,0.0,0.0,,,,,23
moby,Module_CC,TESTING,0.72,,0.51,31.57,1244.9,35.28,0.12,0.3,0.5,0.37,30
moby,Module_EC,TESTING,-0.39,,-1.43,19.81,468.64,21.65,0.0,0.13,0.38,0.17,30
moby,Module_CC,FEATURE,1.0,,1.0,0.0,0.0,0.0,,,,,14
moby,Module_EC,FEATURE,1.0,,1.0,0.0,0.0,0.0,,,,,14
moby,Module_CC,UPGRADE,0.0,,-1.5,0.08,0.01,0.12,0.0,0.0,0.0,0.12,21
moby,Module_EC,UPGRADE,1.0,,1.0,0.0,0.0,0.0,,,,,21
gitlabhq,Module_CC,BUG,0.98,,0.98,15.12,661.47,25.72,0.62,0.53,0.82,0.74,797
gitlabhq,Module_EC,BUG,0.96,,0.96,11.31,516.81,22.73,0.67,0.52,0.81,0.75,797
gitlabhq,Module_CC,DOCS,0.94,,0.94,8.35,275.48,16.6,0.59,0.37,0.8,0.59,531
gitlabhq,Module_EC,DOCS,0.86,,0.86,3.67,50.96,7.14,0.58,0.29,0.75,0.52,531
gitlabhq,Module_CC,REFACTOR,0.43,,0.41,17.16,1109.49,33.31,0.53,0.27,0.68,0.47,352
gitlabhq,Module_EC,REFACTOR,0.6,,0.59,12.45,691.46,26.3,0.43,0.29,0.6,0.47,352
gitlabhq,Module_CC,TESTING,0.87,,0.87,10.69,389.65,19.74,0.58,0.39,0.75,0.64,445
gitlabhq,Module_EC,TESTING,0.91,,0.91,5.72,164.76,12.84,0.58,0.38,0.7,0.59,445
gitlabhq,Module_CC,FEATURE,0.65,,0.64,11.48,483.77,21.99,0.45,0.3,0.66,0.39,447
gitlabhq,Module_EC,FEATURE,0.79,,0.78,5.07,182.84,13.52,0.48,0.28,0.63,0.46,447
gitlabhq,Module_CC,UPGRADE,0.37,,0.35,10.93,1806.46,42.5,0.54,0.28,0.7,0.53,361
gitlabhq,Module_EC,UPGRADE,0.39,,0.37,2.43,176.06,13.27,0.52,0.27,0.68,0.46,361
gitlabhq,Module_CC,RELEASE,0.53,,0.51,2.4,76.36,8.74,0.64,0.5,0.75,0.6,265
gitlabhq,Module_EC,RELEASE,0.72,,0.71,1.53,45.36,6.74,0.7,0.54,0.85,0.57,265
gitlabhq,Module_CC,SUPPORT,0.86,,0.85,6.78,133.0,11.53,0.42,0.41,0.58,0.56,331
gitlabhq,Module_EC,SUPPORT,0.79,,0.78,5.23,141.3,11.89,0.47,0.36,0.61,0.52,331
gitlabhq,Module_CC,OTHER,0.97,,0.97,86.27,23394.72,152.95,0.54,0.42,0.71,0.63,887
gitlabhq,Module_EC,OTHER,0.96,,0.96,48.51,14935.3,122.21,0.56,0.37,0.68,0.57,887
orleans,Module_CC,BUG,0.99,,0.99,16.72,575.12,23.98,0.29,0.32,0.43,0.47,81
orleans,Module_EC,BUG,0.95,,0.94,1.63,17.49,4.18,0.33,0.14,0.33,0.23,81
orleans,Module_CC,DOCS,0.72,,-0.12,3.16,25.44,5.04,0.6,0.3,0.6,0.45,20
orleans,Module_EC,DOCS,1.0,,1.0,0.0,0.0,0.0,,0.0,,0.29,20
orleans,Module_CC,REFACTOR,0.95,,0.95,8.78,103.32,10.16,0.5,0.6,0.5,0.73,15
orleans,Module_EC,REFACTOR,1.0,,1.0,0.0,0.0,0.0,,,,,15
orleans,Module_CC,TESTING,0.8,,0.75,73.12,15639.45,125.06,0.18,0.22,0.41,0.31,65
orleans,Module_EC,TESTING,0.79,,0.74,2.66,105.64,10.28,0.17,0.21,0.17,0.34,65
orleans,Module_CC,FEATURE,0.16,,-2.36,51.71,6211.74,78.81,0.2,0.33,0.2,0.39,18
orleans,Module_EC,FEATURE,1.0,,1.0,0.0,0.0,0.0,,,,,18
orleans,Module_CC,UPGRADE,0.64,,-0.44,30.08,2298.86,47.95,0.4,0.2,0.8,0.3,20
orleans,Module_EC,UPGRADE,1.0,,1.0,0.0,0.0,0.0,,,,,20
orleans,Module_CC,RELEASE,-1.69,,-4.38,0.36,0.33,0.57,0.71,0.73,0.71,0.77,26
orleans,Module_EC,RELEASE,1.0,,1.0,0.0,0.0,0.0,,,,,26
orleans,Module_CC,SUPPORT,0.98,,0.97,9.14,209.65,14.48,0.54,0.44,0.54,0.52,50
orleans,Module_EC,SUPPORT,-0.08,,-0.44,2.85,105.31,10.26,0.0,0.0,0.0,0.0,50
orleans,Module_CC,OTHER,-0.5,,-0.74,576.16,1620365.7,1272.94,0.17,0.26,0.35,0.42,90
orleans,Module_EC,OTHER,-0.44,,-0.67,17.3,2519.18,50.19,0.08,0.09,0.15,0.14,90
roslyn,Module_CC,BUG,0.85,,0.8,65.86,11369.6,106.63,0.07,0.26,0.5,0.54,55
roslyn,Module_EC,BUG,0.6,,0.48,600.47,1749186.21,1322.57,0.07,0.15,0.07,0.25,55
roslyn,Module_CC,DOCS,-0.17,,-1.34,802.46,4456743.5,2111.1,0.14,0.25,0.29,0.32,28
