Project,Model,Task,R_Squared,R_Squared_X,R_Squared_Adj,MAE,MSE,RMSE,PRED_25,PRED_25_X,PRED_50,PRED_50_X,T_Records
node,Line_EC,REFACTOR,0.94,,0.94,674.69,3077212.06,1754.2,0.53,0.45,0.57,0.6,234
node,Line_CC,TESTING,0.95,,0.95,4056.42,47844127.93,6916.94,0.61,0.37,0.8,0.72,275
node,Line_EC,TESTING,0.91,,0.91,808.71,2946561.16,1716.56,0.66,0.62,0.78,0.76,275
node,Line_CC,FEATURE,0.25,,0.21,156.78,82013.76,286.38,0.41,0.52,0.59,0.58,147
node,Line_EC,FEATURE,1.0,,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,147
node,Line_CC,UPGRADE,0.9,,0.9,81436.68,21764703078.22,147528.65,0.67,0.49,0.76,0.71,251
node,Line_EC,UPGRADE,0.94,,0.94,8407.52,339087895.8,18414.34,0.56,0.49,0.72,0.65,251
node,Line_CC,RELEASE,0.95,,0.95,102.48,29695.95,172.33,0.68,0.58,0.87,0.74,247
node,Line_EC,RELEASE,0.95,,0.95,8.14,267.99,16.37,0.79,0.63,0.94,0.78,247
node,Line_CC,SUPPORT,0.91,,0.91,1003.17,3297346.73,1815.86,0.44,0.43,0.6,0.63,249
node,Line_EC,SUPPORT,0.87,,0.87,147.87,182358.14,427.03,0.6,0.43,0.73,0.67,249
node,Line_CC,OTHER,0.93,,0.93,177483.5,124772659510.47,353231.74,0.53,0.39,0.65,0.55,299
node,Line_EC,OTHER,0.67,,0.66,68027.19,25604660906.92,160014.56,0.62,0.54,0.73,0.63,299
neutron,Line_CC,BUG,0.22,,0.17,8006.2,320719845.5,17908.65,0.19,0.22,0.54,0.39,147
neutron,Line_EC,BUG,0.23,,0.18,19831.12,2488025442.69,49880.11,0.24,0.23,0.38,0.37,147
neutron,Line_CC,DOCS,0.44,,0.37,426.21,303864.06,551.24,0.3,0.24,0.3,0.36,80
neutron,Line_EC,DOCS,0.32,,0.24,1010.13,1578152.5,1256.25,0.05,0.16,0.45,0.36,80
neutron,Line_CC,REFACTOR,0.95,,0.94,312.78,260763.34,510.65,0.62,0.55,0.71,0.73,84
neutron,Line_EC,REFACTOR,0.8,,0.78,761.41,968777.57,984.26,0.14,0.26,0.38,0.52,84
neutron,Line_CC,TESTING,0.58,,0.55,2165.34,22208930.67,4712.64,0.23,0.28,0.43,0.48,138
neutron,Line_EC,TESTING,0.43,,0.39,4535.93,144042383.7,12001.77,0.29,0.34,0.51,0.54,138
neutron,Line_CC,FEATURE,0.52,,0.4,234.25,74419.76,272.8,0.27,0.24,0.55,0.5,42
neutron,Line_EC,FEATURE,-0.04,,-0.3,499.54,500495.24,707.46,0.36,0.31,0.36,0.43,42
neutron,Line_CC,UPGRADE,0.22,,0.15,622.44,2150238.13,1466.37,0.19,0.18,0.31,0.34,104
neutron,Line_EC,UPGRADE,0.14,,0.07,1433.72,9315630.34,3052.15,0.08,0.14,0.27,0.27,104
neutron,Line_CC,RELEASE,-0.02,,-0.1,422.96,2945658.26,1716.29,0.37,0.24,0.56,0.39,106
neutron,Line_EC,RELEASE,-0.02,,-0.1,1277.79,26876646.76,5184.27,0.33,0.16,0.52,0.33,106
neutron,Line_CC,SUPPORT,0.25,,0.19,2316.11,18102206.21,4254.67,0.3,0.28,0.47,0.44,119
neutron,Line_EC,SUPPORT,0.54,,0.51,2835.63,26720390.01,5169.18,0.37,0.24,0.43,0.43,119
neutron,Line_CC,OTHER,-0.2,,-0.27,270385.1,324430318974.95,569587.85,0.26,0.18,0.42,0.34,152
neutron,Line_EC,OTHER,-0.47,,-0.55,221679.68,401436333727.89,633590.04,0.26,0.24,0.42,0.36,152
vue,Line_CC,BUG,0.95,,0.95,97.48,45209.22,212.62,0.4,0.32,0.57,0.54,118
vue,Line_EC,BUG,1.0,,1.0,0.0,0.0,0.0,,0.0,,0.0,118
vue,Line_CC,DOCS,0.81,,0.81,45.4,4255.99,65.24,0.33,0.45,0.33,0.45,11
vue,Line_EC,DOCS,1.0,,1.0,0.0,0.0,0.0,,0.0,,0.0,11
vue,Line_CC,REFACTOR,-3.2,,-4.25,166.14,86102.99,293.43,0.18,0.26,0.27,0.33,42
vue,Line_EC,REFACTOR,1.0,,1.0,0.0,0.0,0.0,,,,,42
vue,Line_CC,TESTING,0.97,,0.96,423.65,578323.71,760.48,0.27,0.18,0.33,0.25,57
vue,Line_EC,TESTING,0.35,,0.24,6.93,720.51,26.84,0.0,0.67,0.0,0.67,57
vue,Line_CC,FEATURE,0.63,,0.38,349.6,555988.21,745.65,0.17,0.17,0.67,0.42,24
vue,Line_EC,FEATURE,1.0,,1.0,0.0,0.0,0.0,,,,,24
vue,Line_CC,UPGRADE,-11115.15,,11117.15,601.86,711433.8,843.47,0.5,0.12,0.5,0.12,8
vue,Line_EC,UPGRADE,1.0,,1.0,0.0,0.0,0.0,,,,,8
vue,Line_CC,RELEASE,0.82,,0.81,252.22,406962.43,637.94,0.11,0.23,0.36,0.32,111
vue,Line_EC,RELEASE,1.0,,1.0,0.0,0.0,0.0,,,,,111
vue,Line_CC,SUPPORT,0.88,,0.85,102.88,20558.06,143.38,0.36,0.32,0.45,0.44,41
vue,Line_EC,SUPPORT,1.0,,1.0,0.0,0.0,0.0,,,,,41
vue,Line_CC,OTHER,0.66,,0.64,7271.67,140785194.86,11865.29,0.24,0.12,0.33,0.19,129
vue,Line_EC,OTHER,-7.81,,-8.4,18.94,3881.05,62.3,0.0,0.0,0.0,0.0,129
home-assistant,Line_CC,BUG,0.23,,0.21,151.35,137964.86,371.44,0.15,0.18,0.33,0.33,291
home-assistant,Line_EC,BUG,-0.25,,-0.29,747.53,11792983.8,3434.09,0.27,0.2,0.4,0.36,291
home-assistant,Line_CC,DOCS,-0.23,,-0.64,88.7,13065.98,114.31,0.0,0.12,0.11,0.12,34
home-assistant,Line_EC,DOCS,-0.36,,-0.81,1194.69,2735091.86,1653.81,0.0,0.06,0.17,0.18,34
home-assistant,Line_CC,REFACTOR,0.23,,0.08,470.57,427665.09,653.96,0.15,0.22,0.38,0.41,49
home-assistant,Line_EC,REFACTOR,0.29,,0.15,5002.38,191316449.34,13831.72,0.0,0.0,0.0,0.09,49
home-assistant,Line_CC,TESTING,-5.29,,-5.92,890.73,2296867.45,1515.54,0.09,0.11,0.22,0.2,91
home-assistant,Line_EC,TESTING,-6.95,,-7.75,7006.56,301079393.36,17351.64,0.08,0.0,0.08,0.13,91
home-assistant,Line_CC,FEATURE,-2.71,,-3.64,223.16,80976.03,284.56,0.09,0.07,0.18,0.24,42
home-assistant,Line_EC,FEATURE,-39.87,,-50.09,1060.58,6279871.95,2505.97,0.0,0.17,0.0,0.33,42
home-assistant,Line_CC,UPGRADE,-2.82,,-3.13,82.45,20879.7,144.5,0.29,0.23,0.46,0.5,111
home-assistant,Line_EC,UPGRADE,-1.95,,-2.19,547.63,1464089.67,1210.0,0.24,0.14,0.35,0.31,111
home-assistant,Line_CC,RELEASE,-3.78,,-4.2,0.56,1.48,1.22,0.0,0.03,0.0,0.07,101
home-assistant,Line_EC,RELEASE,1.0,,1.0,0.0,0.0,0.0,,0.0,,0.0,101
home-assistant,Line_CC,SUPPORT,0.47,,0.42,669.01,995201.12,997.6,0.23,0.32,0.58,0.5,104
home-assistant,Line_EC,SUPPORT,0.62,,0.59,983.38,5567284.92,2359.51,0.33,0.18,0.56,0.36,104
home-assistant,Line_CC,OTHER,0.85,,0.85,668.97,2194290.8,1481.31,0.2,0.18,0.32,0.38,368
home-assistant,Line_EC,OTHER,0.54,,0.53,6772.82,421053346.89,20519.58,0.24,0.2,0.29,0.37,368
tensorflow,Line_CC,BUG,0.09,,-0.01,12680.35,2902369786.88,53873.65,0.29,0.15,0.48,0.3,84
tensorflow,Line_EC,BUG,0.03,,-0.08,13569.74,3015841987.66,54916.68,0.29,0.22,0.35,0.32,84
tensorflow,Line_CC,DOCS,0.4,,0.27,1991.3,11259278.73,3355.48,0.25,0.13,0.42,0.32,47
tensorflow,Line_EC,DOCS,-6.98,,-8.75,4758.4,112288619.09,10596.63,0.25,0.2,0.25,0.29,47
tensorflow,Line_CC,REFACTOR,0.54,,0.39,2672.79,10721629.8,3274.39,0.22,0.43,0.67,0.69,35
tensorflow,Line_EC,REFACTOR,0.24,,-0.01,3202.65,17767028.47,4215.1,0.22,0.43,0.67,0.71,35
tensorflow,Line_CC,TESTING,0.56,,0.49,3540.68,31036536.54,5571.04,0.07,0.14,0.27,0.29,59
tensorflow,Line_EC,TESTING,-1.1,,-1.45,6463.85,161080413.99,12691.75,0.27,0.19,0.36,0.35,59
tensorflow,Line_CC,FEATURE,-0.43,,-0.91,2601.29,10080510.9,3174.98,0.11,0.2,0.33,0.49,35
tensorflow,Line_EC,FEATURE,-11.19,,-15.25,4956.22,33787386.73,5812.69,0.0,0.17,0.11,0.4,35
tensorflow,Line_CC,UPGRADE,0.29,,0.16,165.97,70313.7,265.17,0.14,0.15,0.29,0.26,53
tensorflow,Line_EC,UPGRADE,0.69,,0.63,118.58,31886.99,178.57,0.2,0.16,0.7,0.23,53
tensorflow,Line_CC,RELEASE,0.51,,0.44,7885.17,390622345.17,19764.17,0.12,0.09,0.29,0.22,65
tensorflow,Line_EC,RELEASE,-44.1,,-50.54,6118.93,238702453.64,15450.0,0.08,0.02,0.08,0.11,65
tensorflow,Line_CC,SUPPORT,0.86,,0.82,4820.26,93113485.38,9649.53,0.64,0.57,0.82,0.71,42
tensorflow,Line_EC,SUPPORT,0.87,,0.84,4324.53,84998734.45,9219.48,0.64,0.38,0.73,0.62,42
tensorflow,Line_CC,OTHER,0.39,,0.33,69663.62,22776108202.94,150917.55,0.17,0.19,0.43,0.38,90
tensorflow,Line_EC,OTHER,0.23,,0.15,197846.57,182312548692.81,426980.74,0.04,0.04,0.09,0.12,90
moby,Line_CC,BUG,0.51,,0.35,70.66,18721.01,136.82,0.44,0.38,0.44,0.5,34
moby,Line_EC,BUG,-0.1,,-0.47,62.49,27010.01,164.35,0.0,0.0,0.0,0.0,34
moby,Line_CC,DOCS,0.97,,0.95,3.45,45.88,6.77,0.25,0.0,0.25,0.0,22
moby,Line_EC,DOCS,1.0,,1.0,0.0,0.0,0.0,,,,,22
moby,Line_CC,REFACTOR,0.0,,-0.67,55.82,11942.26,109.28,0.0,0.22,0.0,0.26,23
moby,Line_EC,REFACTOR,1.0,,1.0,0.0,0.0,0.0,,,,,23
moby,Line_CC,TESTING,0.71,,0.59,1407.56,3866069.03,1966.23,0.12,0.13,0.62,0.4,30
moby,Line_EC,TESTING,0.63,,0.48,234.03,67961.45,260.69,0.62,0.23,0.62,0.37,30
moby,Line_CC,FEATURE,1.0,,1.0,0.0,0.0,0.0,,,,,14
moby,Line_EC,FEATURE,1.0,,1.0,0.0,0.0,0.0,,,,,14
moby,Line_CC,UPGRADE,0.0,,-0.67,1.99,18.89,4.35,0.0,0.0,0.0,0.17,21
moby,Line_EC,UPGRADE,1.0,,1.0,0.0,0.0,0.0,,,,,21
gitlabhq,Line_CC,BUG,0.46,,0.45,978.92,7917793.81,2813.86,0.36,0.25,0.54,0.46,797
gitlabhq,Line_EC,BUG,0.65,,0.65,444.07,1517527.96,1231.88,0.4,0.23,0.61,0.46,797
gitlabhq,Line_CC,DOCS,0.82,,0.82,358.71,396291.17,629.52,0.44,0.26,0.53,0.43,531
gitlabhq,Line_EC,DOCS,0.71,,0.71,138.17,62851.5,250.7,0.37,0.22,0.54,0.4,531
gitlabhq,Line_CC,REFACTOR,-0.1,,-0.13,1013.09,5491082.71,2343.31,0.31,0.18,0.45,0.37,352
gitlabhq,Line_EC,REFACTOR,0.0,,-0.02,735.54,4235043.12,2057.92,0.25,0.12,0.42,0.29,352
gitlabhq,Line_CC,TESTING,-4.06,,-4.15,1319.02,19920154.26,4463.2,0.29,0.2,0.52,0.35,445
gitlabhq,Line_EC,TESTING,0.5,,0.49,474.41,1670783.07,1292.59,0.34,0.19,0.53,0.36,445
gitlabhq,Line_CC,FEATURE,-0.02,,-0.04,764.8,2345432.84,1531.48,0.26,0.13,0.35,0.24,447
gitlabhq,Line_EC,FEATURE,0.49,,0.48,226.53,333310.28,577.33,0.28,0.14,0.41,0.25,447
gitlabhq,Line_CC,UPGRADE,0.17,,0.15,1185.48,9549277.63,3090.19,0.13,0.12,0.23,0.24,361
gitlabhq,Line_EC,UPGRADE,0.36,,0.35,928.23,6922017.14,2630.97,0.11,0.08,0.22,0.19,361
gitlabhq,Line_CC,RELEASE,0.09,,0.06,86.51,63819.36,252.62,0.18,0.16,0.36,0.23,265
gitlabhq,Line_EC,RELEASE,0.63,,0.62,47.2,25037.26,158.23,0.24,0.1,0.41,0.22,265
gitlabhq,Line_CC,SUPPORT,0.27,,0.25,482.21,1503629.69,1226.23,0.27,0.15,0.36,0.31,331
gitlabhq,Line_EC,SUPPORT,0.89,,0.89,219.5,208791.6,456.94,0.26,0.16,0.43,0.38,331
gitlabhq,Line_CC,OTHER,0.28,,0.27,12988.94,830730561.95,28822.4,0.26,0.19,0.44,0.33,887
gitlabhq,Line_EC,OTHER,0.18,,0.17,12695.96,1047978954.52,32372.5,0.27,0.21,0.42,0.37,887
orleans,Line_CC,BUG,0.99,,0.99,231.58,123753.91,351.79,0.33,0.26,0.38,0.41,81
orleans,Line_EC,BUG,0.92,,0.91,17.25,2508.15,50.08,0.5,0.29,0.5,0.36,81
orleans,Line_CC,DOCS,0.54,,0.08,74.94,14137.13,118.9,0.4,0.2,0.4,0.25,20
orleans,Line_EC,DOCS,1.0,,1.0,0.0,0.0,0.0,,0.0,,1.0,20
orleans,Line_CC,REFACTOR,0.1,,-1.7,671.14,528967.99,727.3,0.0,0.33,0.25,0.4,15
orleans,Line_EC,REFACTOR,1.0,,1.0,0.0,0.0,0.0,,,,,15
orleans,Line_CC,TESTING,0.81,,0.78,1073.32,3127567.46,1768.49,0.18,0.26,0.18,0.34,65
orleans,Line_EC,TESTING,0.71,,0.67,10.57,730.53,27.03,0.25,0.18,0.25,0.36,65
orleans,Line_CC,FEATURE,0.14,,-0.72,685.78,940159.79,969.62,0.2,0.22,0.2,0.33,18
orleans,Line_EC,FEATURE,1.0,,1.0,0.0,0.0,0.0,,,,,18
orleans,Line_CC,UPGRADE,0.64,,0.28,169.03,68341.08,261.42,0.6,0.65,1.0,0.7,20
orleans,Line_EC,UPGRADE,1.0,,1.0,0.0,0.0,0.0,,,,,20
orleans,Line_CC,RELEASE,0.84,,0.76,11.21,310.73,17.63,0.57,0.5,0.57,0.58,26
orleans,Line_EC,RELEASE,1.0,,1.0,0.0,0.0,0.0,,,,,26
orleans,Line_CC,SUPPORT,0.98,,0.98,233.37,149846.36,387.1,0.46,0.38,0.54,0.48,50
orleans,Line_EC,SUPPORT,-0.08,,-0.3,113.77,168264.69,410.2,0.0,0.0,0.0,0.0,50
orleans,Line_CC,OTHER,-1.33,,-1.56,18238.19,1343931030.93,36659.66,0.17,0.21,0.35,0.36,90
orleans,Line_EC,OTHER,-0.96,,-1.16,971.68,8935883.63,2989.29,0.0,0.06,0.1,0.12,90
roslyn,Line_CC,BUG,0.09,,-0.08,10039.93,542205347.72,23285.3,0.07,0.13,0.29,0.27,55
roslyn,Line_EC,BUG,0.81,,0.78,12204.51,666204565.76,25810.94,0.18,0.19,0.27,0.33,55
roslyn,Line_CC,DOCS,0.25,,-0.12,141.69,53342.23,230.96,0.14,0.11,0.29,0.39,28
roslyn,Line_EC,DOCS,-11.82,,-18.23,1156.57,3617946.84,1902.09,0.0,0.0,0.0,0.0,28
roslyn,Line_CC,REFACTOR,-0.23,,-0.64,3540.24,38343138.47,6192.18,0.22,0.09,0.44,0.26,35
roslyn,Line_EC,REFACTOR,0.06,,-0.25,27174.66,5229944708.99,72318.36,0.0,0.05,0.2,0.16,35
roslyn,Line_CC,TESTING,0.14,,-0.05,13808.47,260980667.97,16154.9,0.08,0.11,0.17,0.31,45
roslyn,Line_EC,TESTING,-8.89,,-11.09,137892.24,73225762294.41,270602.59,0.11,0.13,0.22,0.35,45
roslyn,Line_CC,FEATURE,-50.94,,-68.25,7419.4,219447735.34,14813.77,0.33,0.12,0.33,0.27,33
roslyn,Line_EC,FEATURE,-0.06,,-0.41,20032.62,1041032808.66,32265.04,0.17,0.17,0.17,0.33,33
roslyn,Line_CC,UPGRADE,-4.67,,-6.94,445.87,297475.5,545.41,0.0,0.1,0.0,0.13,30
roslyn,Line_EC,UPGRADE,-3.92,,-5.89,3371.69,42999350.4,6557.39,0.0,0.14,0.0,0.14,30
roslyn,Line_CC,RELEASE,-101.69,,-142.77,198.36,70827.87,266.14,0.12,0.14,0.38,0.17,29
roslyn,Line_EC,RELEASE,-109.34,,-153.48,182.44,106812.35,326.82,0.0,0.09,0.0,0.09,29
roslyn,Line_CC,SUPPORT,-1.67,,-2.34,12667.65,462157349.28,21497.85,0.36,0.15,0.36,0.24,41
roslyn,Line_EC,SUPPORT,-12.4,,-15.75,246264.64,178460652014.62,422446.03,0.0,0.06,0.0,0.12,41
roslyn,Line_CC,OTHER,-3.65,,-4.37,66274.08,22854931188.36,151178.47,0.19,0.2,0.25,0.33,61
roslyn,Line_EC,OTHER,0.56,,0.49,56542.32,18866730434.4,137356.22,0.08,0.09,0.31,0.25,61
ansible,Line_CC,BUG,0.93,,0.93,2431.18,37064008.55,6088.02,0.47,0.33,0.6,0.43,246
ansible,Line_EC,BUG,0.99,,0.99,7606.73,375002582.98,19364.98,0.62,0.43,0.73,0.62,246
ansible,Line_CC,DOCS,0.59,,0.57,3579.57,52102699.41,7218.22,0.49,0.33,0.6,0.44,180
ansible,Line_EC,DOCS,0.57,,0.55,28156.39,13567937764.14,116481.49,0.68,0.51,0.77,0.6,180
ansible,Line_CC,REFACTOR,0.94,,0.94,495.07,2308717.6,1519.45,0.77,0.63,0.81,0.75,122
ansible,Line_EC,REFACTOR,1.0,,1.0,940.56,6564380.48,2562.1,0.56,0.5,0.75,0.57,122
ansible,Line_CC,TESTING,0.83,,0.82,3422.0,72418212.77,8509.89,0.44,0.28,0.59,0.47,214
ansible,Line_EC,TESTING,0.88,,0.88,17104.1,3053683086.66,55260.14,0.69,0.53,0.88,0.66,214
ansible,Line_CC,FEATURE,0.85,,0.84,465.45,587689.29,766.61,0.61,0.39,0.74,0.56,125
ansible,Line_EC,FEATURE,0.95,,0.95,3742.01,57429027.82,7578.19,0.73,0.61,0.82,0.78,125
ansible,Line_CC,UPGRADE,0.81,,0.8,132.48,51884.58,227.78,0.44,0.4,0.64,0.64,154
ansible,Line_EC,UPGRADE,0.9,,0.89,266.4,1092281.33,1045.12,0.64,0.57,0.68,0.66,154
ansible,Line_CC,RELEASE,0.65,,0.64,233.96,211264.33,459.63,0.4,0.18,0.48,0.31,251
ansible,Line_EC,RELEASE,0.94,,0.94,12.27,4298.14,65.56,0.85,0.56,0.85,0.75,251
ansible,Line_CC,SUPPORT,0.98,,0.98,390.84,622371.37,788.91,0.59,0.47,0.74,0.66,182
ansible,Line_EC,SUPPORT,1.0,,1.0,663.72,4753927.5,2180.35,0.9,0.65,0.9,0.82,182
ansible,Line_CC,OTHER,0.88,,0.88,15888.94,1549742442.01,39366.77,0.37,0.29,0.52,0.45,266
ansible,Line_EC,OTHER,0.95,,0.95,53946.4,33129563881.61,182015.28,0.59,0.54,0.63,0.6,266
cli,Line_CC,BUG,0.38,,0.13,310.09,119885.56,346.24,0.12,0.12,0.38,0.34,32
cli,Line_EC,BUG,0.71,,0.59,128.19,40434.35,201.08,0.0,0.14,0.4,0.23,32
cli,Line_CC,DOCS,-56.12,,-56.12,193.94,42191.78,205.41,0.0,0.0,0.0,0.18,11
cli,Line_EC,DOCS,-67.93,,-67.93,13.58,551.44,23.48,0.0,0.0,0.0,0.1,11
cli,Line_CC,REFACTOR,-1.74,,-3.11,2376.93,5909163.39,2430.88,0.0,0.2,0.0,0.4,25
cli,Line_EC,REFACTOR,0.04,,-0.44,402.95,325082.38,570.16,0.4,0.29,0.4,0.36,25
cli,Line_CC,TESTING,-0.13,,-0.51,100904.11,85349126457.76,292145.73,0.11,0.06,0.44,0.12,33
cli,Line_EC,TESTING,0.0,,-0.33,2236.51,36083422.89,6006.95,0.0,0.05,0.0,0.11,33
cli,Line_CC,FEATURE,-0.18,,-0.18,1011.25,3029631.74,1740.58,0.33,0.1,0.33,0.1,10
cli,Line_EC,FEATURE,-0.11,,-0.11,1089.62,3561844.29,1887.28,0.0,0.33,0.0,0.33,10
cli,Line_CC,UPGRADE,-0.88,,-2.13,474.88,546730.76,739.41,0.17,0.1,0.17,0.14,21
cli,Line_EC,UPGRADE,-224.79,,-375.32,3430.14,70476533.66,8395.03,0.0,0.0,0.0,0.0,21
cli,Line_CC,RELEASE,-14.15,,-44.45,162.11,33314.29,182.52,0.0,0.08,0.0,0.23,13
cli,Line_EC,RELEASE,0.28,,-1.16,40.68,4012.31,63.34,0.0,0.0,0.5,0.5,13
cli,Line_CC,SUPPORT,-0.33,,-1.22,1154.27,1686109.82,1298.5,0.0,0.19,0.17,0.33,21
cli,Line_EC,SUPPORT,-5.58,,-9.97,211.17,143944.05,379.4,0.0,0.2,0.0,0.2,21
cli,Line_CC,OTHER,-19.84,,-26.79,155419.54,94330960271.83,307133.46,0.33,0.17,0.33,0.28,36
cli,Line_EC,OTHER,0.19,,-0.08,7490.27,373893255.97,19336.32,0.22,0.03,0.22,0.14,36
nova,Line_CC,BUG,0.22,,0.19,9777.14,616127112.97,24821.91,0.41,0.34,0.53,0.48,204
nova,Line_EC,BUG,0.31,,0.28,26654.31,4417388693.18,66463.44,0.35,0.28,0.53,0.47,204
nova,Line_CC,DOCS,0.71,,0.69,1120.79,3423597.05,1850.3,0.4,0.14,0.57,0.32,139
nova,Line_EC,DOCS,0.55,,0.52,3488.25,34404462.39,5865.53,0.29,0.19,0.46,0.3,139
nova,Line_CC,REFACTOR,0.66,,0.64,863.7,2212658.02,1487.5,0.45,0.41,0.76,0.69,132
nova,Line_EC,REFACTOR,0.44,,0.4,1761.51,17641000.7,4200.12,0.52,0.41,0.76,0.59,132
nova,Line_CC,TESTING,0.73,,0.72,4567.31,78811163.3,8877.57,0.35,0.23,0.58,0.44,190
nova,Line_EC,TESTING,0.71,,0.7,6126.95,134199946.14,11584.47,0.5,0.28,0.58,0.41,190
nova,Line_CC,FEATURE,0.65,,0.62,172.95,99451.43,315.36,0.42,0.4,0.71,0.63,94
nova,Line_EC,FEATURE,-0.02,,-0.12,426.75,721478.79,849.4,0.42,0.39,0.5,0.5,94
nova,Line_CC,UPGRADE,0.76,,0.74,434.45,555929.82,745.61,0.32,0.2,0.52,0.3,98
nova,Line_EC,UPGRADE,0.8,,0.78,991.62,3306278.91,1818.32,0.4,0.18,0.56,0.37,98
nova,Line_CC,RELEASE,0.63,,0.61,500.88,1497970.11,1223.92,0.31,0.25,0.5,0.44,144
nova,Line_EC,RELEASE,0.78,,0.77,1104.21,7205133.92,2684.24,0.36,0.29,0.56,0.44,144
nova,Line_CC,SUPPORT,0.56,,0.54,1961.51,16212311.14,4026.45,0.33,0.27,0.54,0.51,154
nova,Line_EC,SUPPORT,-1.37,,-1.5,6862.68,305176576.0,17469.3,0.28,0.28,0.51,0.47,154
nova,Line_CC,OTHER,0.21,,0.18,359950.12,951588072126.15,975493.76,0.17,0.13,0.33,0.25,207
nova,Line_EC,OTHER,0.65,,0.64,179406.09,224790876983.71,474121.16,0.29,0.26,0.44,0.37,207
angular.js,Line_CC,BUG,0.78,,0.77,4978.35,121188574.7,11008.57,0.24,0.22,0.41,0.5,196
angular.js,Line_EC,BUG,0.3,,0.27,3780.35,118353475.95,10879.04,0.23,0.19,0.4,0.32,196
angular.js,Line_CC,DOCS,0.33,,0.3,13479.35,1766206801.5,42026.26,0.21,0.15,0.27,0.25,191
angular.js,Line_EC,DOCS,-0.05,,-0.1,9150.51,1385102481.32,37216.96,0.26,0.18,0.45,0.31,191
angular.js,Line_CC,REFACTOR,0.46,,0.43,5147.96,122244561.22,11056.43,0.23,0.2,0.44,0.31,153
angular.js,Line_EC,REFACTOR,0.88,,0.87,407.24,1241606.81,1114.27,0.44,0.2,0.48,0.25,153
angular.js,Line_CC,TESTING,0.71,,0.69,1926.65,9664832.67,3108.83,0.28,0.15,0.48,0.33,158
angular.js,Line_EC,TESTING,0.4,,0.37,269.32,272571.87,522.08,0.28,0.14,0.36,0.31,158
angular.js,Line_CC,FEATURE,0.56,,0.53,4087.47,58038744.19,7618.32,0.29,0.26,0.39,0.41,152
angular.js,Line_EC,FEATURE,0.96,,0.96,380.05,649207.24,805.73,0.23,0.37,0.46,0.48,152
angular.js,Line_CC,UPGRADE,0.1,,0.0,9632.43,255293645.62,15977.91,0.19,0.13,0.29,0.17,84
angular.js,Line_EC,UPGRADE,0.42,,0.36,180.47,115464.59,339.8,0.07,0.15,0.27,0.19,84
angular.js,Line_CC,RELEASE,0.55,,0.52,105.32,37021.25,192.41,0.25,0.27,0.38,0.35,126
