Version,NT,NO,E_Module,E_Line,T_Module,T_Line
v2.6.24-rc7, 53, 108, 157, 2148, 23060, 8858695
v2.6.24-rc8, 64, 175, 237, 3560, 23061, 8858607
v2.6.25, 2008, 10868, 9568, 1067379, 23810, 9231881
v2.6.25-rc1, 0, 0, 2836, 113036, 23757, 9202689
v2.6.25-rc2, 71, 288, 509, 21458, 23771, 9209011
v2.6.25-rc3, 166, 479, 701, 25950, 23778, 9221023
v2.6.25-rc4, 151, 453, 598, 18168, 23787, 9224189
v2.6.25-rc5, 41, 105, 189, 4057, 23786, 9225214
v2.6.25-rc6, 91, 252, 392, 10303, 23786, 9225363
v2.6.25-rc7, 86, 270, 412, 14345, 23787, 9229274
v2.6.25-rc8, 55, 168, 297, 6142, 23789, 9228870
v2.6.25-rc9, 75, 224, 420, 16720, 23810, 9232584
v2.6.26, 1739, 8851, 8518, 838155, 24270, 9411133
v2.6.26-rc1, 0, 0, 2810, 106277, 24233, 9374294
v2.6.26-rc2, 96, 350, 544, 15102, 24225, 9375076
v2.6.26-rc3, 135, 357, 713, 30240, 24240, 9390156
v2.6.26-rc4, 103, 405, 781, 16492, 24248, 9392514
v2.6.26-rc5, 83, 213, 300, 8447, 24250, 9396217
v2.6.26-rc6, 97, 256, 401, 5368, 24252, 9396031
v2.6.26-rc7, 72, 240, 354, 17269, 24254, 9402092
v2.6.26-rc8, 21, 60, 78, 1464, 24257, 9401240
v2.6.26-rc9, 90, 216, 307, 10651, 24269, 9410387
v2.6.27, 1724, 9785, 12282, 1262202, 24353, 9629381
v2.6.27-rc1, 0, 0, 6186, 225755, 24236, 9534220
v2.6.27-rc2, 127, 653, 2136, 61028, 24252, 9548408
v2.6.27-rc3, 98, 423, 2426, 70823, 24297, 9586495
v2.6.27-rc4, 125, 537, 1003, 42788, 24330, 9603971
v2.6.27-rc5, 105, 287, 733, 36235, 24349, 9627240
v2.6.27-rc6, 107, 296, 443, 11391, 24347, 9627715
v2.6.27-rc7, 46, 134, 173, 3015, 24350, 9629486
v2.6.27-rc8, 36, 122, 138, 1693, 24351, 9628585
v2.6.27-rc9, 38, 98, 139, 2834, 24353, 9630455
v2.6.28, 1584, 8228, 9503, 943666, 25254, 10114927
v2.6.28-rc1, 0, 0, 2392, 72670, 25213, 10092821
v2.6.28-rc2, 4, 18, 22, 310, 25213, 10091699
v2.6.28-rc3, 136, 394, 1096, 21607, 25219, 10095090
v2.6.28-rc4, 66, 200, 255, 6531, 25226, 10097205
v2.6.28-rc5, 109, 313, 482, 22144, 25255, 10110435
v2.6.28-rc6, 96, 143, 210, 4287, 25255, 10109924
v2.6.28-rc7, 87, 190, 295, 8151, 25255, 10114111
v2.6.28-rc8, 87, 200, 274, 7150, 25254, 10114529
v2.6.28-rc9, 27, 83, 103, 2563, 25254, 10116140
v2.6.29, 1978, 10619, 10112, 1350502, 26667, 10930161
v2.6.29-rc1, 0, 0, 3413, 183067, 26568, 10869155
v2.6.29-rc2, 117, 495, 902, 43781, 26631, 10895796
v2.6.29-rc3, 114, 364, 1104, 31004, 26686, 10909296
v2.6.29-rc4, 244, 508, 720, 18088, 26696, 10912570
v2.6.29-rc5, 65, 168, 233, 26628, 26696, 10918432
v2.6.29-rc6, 90, 237, 348, 7700, 26698, 10920724
v2.6.29-rc7, 79, 253, 332, 13027, 26712, 10931643
v2.6.29-rc8, 82, 158, 285, 5774, 26711, 10930369
v2.6.30, 2067, 11245, 9911, 1402112, 27878, 11557810
v2.6.30-rc1, 0, 0, 2896, 153263, 27646, 11537794
v2.6.30-rc2, 93, 418, 883, 67002, 27826, 11542114
v2.6.30-rc3, 94, 426, 676, 15940, 27825, 11543156
v2.6.30-rc4, 124, 401, 527, 29564, 27830, 11537577
v2.6.30-rc5, 98, 294, 426, 17351, 27842, 11541896
v2.6.30-rc6, 72, 231, 377, 10017, 27841, 11545801
v2.6.30-rc7, 57, 129, 205, 11408, 27876, 11554801
v2.6.30-rc8, 72, 172, 227, 3921, 27877, 11557436
v2.6.31, 1715, 10089, 8836, 1266817, 29110, 11965865
v2.6.31-rc1, 0, 0, 2633, 101533, 29042, 11937076
v2.6.31-rc2, 110, 484, 664, 22449, 29085, 11945517
v2.6.31-rc3, 126, 422, 808, 22028, 29096, 11947915
v2.6.31-rc4, 79, 207, 291, 6951, 29103, 11951662
v2.6.31-rc5, 95, 341, 466, 32647, 29109, 11961245
v2.6.31-rc6, 130, 448, 521, 11196, 29109, 11963465
v2.6.31-rc7, 54, 190, 290, 5143, 29110, 11966154
v2.6.31-rc8, 45, 114, 140, 2606, 29110, 11965364
v2.6.31-rc9, 27, 86, 98, 1515, 29110, 11966921
v2.6.32, 1688, 10134, 10233, 1576607, 30485, 12528574
v2.6.32-rc1, 0, 0, 2775, 169827, 30239, 12453795
v2.6.32-rc2, 0, 0, 0, 0, 30239, 12452969
v2.6.32-rc3, 71, 314, 574, 35567, 30254, 12458012
v2.6.32-rc4, 111, 360, 1068, 86056, 30454, 12507616
v2.6.32-rc5, 74, 215, 278, 14009, 30474, 12519723
v2.6.32-rc6, 145, 427, 583, 15927, 30478, 12521414
v2.6.32-rc7, 113, 278, 382, 10657, 30479, 12525605
v2.6.32-rc8, 47, 152, 190, 3217, 30481, 12525392
v2.6.33, 1504, 10468, 9632, 1244730, 31565, 12909382
v2.6.33-rc1, 0, 0, 2390, 88432, 31502, 12879492
v2.6.33-rc2, 83, 386, 690, 25103, 31506, 12883449
v2.6.33-rc3, 68, 248, 363, 9889, 31504, 12885560
v2.6.33-rc4, 81, 350, 487, 13938, 31514, 12891126
v2.6.33-rc5, 92, 440, 484, 18888, 31564, 12902312
v2.6.33-rc6, 67, 260, 320, 7643, 31564, 12904329
v2.6.33-rc7, 69, 187, 234, 7930, 31565, 12906805
v2.6.33-rc8, 56, 168, 221, 4009, 31565, 12908808
v2.6.34, 1420, 8938, 10988, 813192, 32297, 13239491
v2.6.34-rc1, 0, 0, 6869, 229217, 32001, 13147418
v2.6.34-rc2, 224, 1513, 2159, 173582, 32271, 13209926
v2.6.34-rc3, 100, 311, 356, 5324, 32272, 13212058
v2.6.34-rc4, 104, 480, 4588, 32443, 32295, 13232281
v2.6.34-rc5, 46, 160, 195, 4995, 32295, 13234324
v2.6.34-rc6, 98, 287, 429, 9165, 32298, 13237951
v2.6.34-rc7, 74, 240, 283, 4124, 32297, 13239929
v2.6.35, 1555, 9095, 8869, 1106263, 33316, 13464203
v2.6.35-rc1, 0, 0, 2019, 304514, 33192, 13579847
v2.6.35-rc2, 148, 600, 901, 89074, 33307, 13653815
v2.6.35-rc3, 54, 136, 165, 2485, 33307, 13655554
v2.6.35-rc4, 134, 291, 441, 7063, 33310, 13655357
v2.6.35-rc5, 38, 128, 342, 199609, 33313, 13463174
v2.6.35-rc6, 55, 147, 269, 4805, 33315, 13463437
v2.6.36, 1507, 8881, 9155, 1135701, 34298, 13418710
v2.6.36-rc1, 0, 0, 1622, 39845, 34297, 13413183
v2.6.36-rc2, 49, 188, 276, 8789, 34301, 13415312
v2.6.36-rc3, 96, 285, 436, 14019, 34293, 13412789
v2.6.36-rc4, 96, 372, 431, 7496, 34294, 13416105
v2.6.36-rc5, 49, 184, 214, 3519, 34295, 13415836
v2.6.36-rc6, 88, 198, 247, 3163, 34296, 13417539
v2.6.36-rc7, 38, 128, 167, 1554, 34296, 13417231
v2.6.36-rc8, 47, 154, 166, 2452, 34297, 13418615
v2.6.37, 1810, 10455, 10909, 1521851, 35188, 13912826
v2.6.37-rc1, 0, 0, 2085, 53860, 35191, 13896670
v2.6.37-rc2, 162, 449, 680, 17108, 35192, 13901548
v2.6.37-rc3, 53, 129, 412, 3803, 35192, 13903431
v2.6.37-rc4, 111, 282, 351, 13873, 35196, 13910332
v2.6.37-rc5, 81, 168, 274, 7353, 35185, 13911081
v2.6.37-rc6, 83, 258, 325, 4857, 35185, 13911588
v2.6.37-rc7, 30, 157, 184, 3640, 35187, 13912844
v2.6.37-rc8, 54, 135, 176, 2319, 35187, 13912855
v2.6.38, 1410, 9064, 8706, 828733, 35866, 14205800
v2.6.38-rc1, 0, 0, 2426, 45162, 35862, 14196496
v2.6.38-rc2, 67, 297, 941, 13693, 35862, 14197411
v2.6.38-rc3, 118, 325, 516, 10950, 35866, 14200713
v2.6.38-rc4, 79, 249, 254, 4204, 35867, 14202893
v2.6.38-rc5, 72, 257, 378, 5356, 35867, 14203311
v2.6.38-rc6, 34, 148, 171, 4316, 35865, 14203463
v2.6.38-rc7, 66, 148, 198, 2473, 35865, 14203846
v2.6.38-rc8, 55, 168, 196, 2336, 35865, 14205134
v2.6.39, 1348, 9871, 10645, 917908, 36707, 14529213
v2.6.39-rc1, 0, 0, 3786, 38099, 36706, 14525248
v2.6.39-rc2, 73, 254, 444, 6111, 36710, 14526019
v2.6.39-rc3, 63, 151, 2628, 13807, 36702, 14525542
v2.6.39-rc4, 68, 238, 286, 5480, 36700, 14525208
v2.6.39-rc5, 66, 181, 236, 3245, 36704, 14527097
v2.6.39-rc6, 72, 209, 241, 3625, 36706, 14527818
v2.6.39-rc7, 24, 87, 111, 2664, 36707, 14528974
v3.0, 1325, 8795, 7949, 884124, 36783, 14642585
v3.0-rc1, 0, 0, 1503, 52255, 36741, 14610743
v3.0-rc2, 36, 162, 199, 3623, 36741, 14611202
v3.0-rc3, 94, 316, 460, 7779, 36742, 14614149
v3.0-rc4, 124, 256, 359, 7103, 36747, 14616409
v3.0-rc5, 49, 157, 182, 2580, 36748, 14617507
v3.0-rc6, 85, 382, 213, 25891, 36783, 14641158
v3.0-rc7, 79, 186, 220, 3680, 36783, 14642682
v3.1, 1175, 8394, 8847, 910475, 37086, 14766812
v3.1-rc1, 0, 0, 1400, 39799, 37075, 14758218
v3.1-rc10, 386, 1315, 1367, 39078, 37086, 14766593
v3.1-rc2, 0, 0, 1125, 21337, 37079, 14759745
v3.1-rc3, 36, 168, 165, 6104, 37083, 14763391
v3.1-rc4, 66, 218, 343, 4834, 37085, 14765213
v3.1-rc5, 37, 115, 122, 1169, 37085, 14765108
v3.1-rc6, 48, 99, 113, 1822, 37085, 14766340
v3.1-rc7, 79, 219, 283, 4665, 37086, 14766240
v3.1-rc8, 18, 61, 66, 891, 37086, 14767097
v3.1-rc9, 24, 95, 107, 1283, 37086, 14766460
v3.10, 13695, 99524, 35494, 6780975, 43018, 16952631
v3.10-rc1, 0, 0, 1657, 37266, 43007, 16938186
v3.10-rc2, 65, 337, 356, 6832, 43010, 16940106
v3.10-rc3, 146, 330, 520, 8082, 43010, 16941568
v3.10-rc4, 59, 149, 202, 5653, 43012, 16944735
v3.10-rc5, 102, 220, 292, 4297, 43012, 16945406
v3.10-rc6, 77, 207, 241, 4486, 43012, 16947012
v3.10-rc7, 29, 133, 162, 2067, 43011, 16946735
v3.11, 1520, 10499, 9641, 1023147, 44005, 17400346
v3.11-rc1, 0, 0, 1769, 122650, 44145, 17483560
v3.11-rc2, 52, 201, 662, 97426, 44001, 17394016
v3.11-rc3, 92, 288, 339, 11636, 44002, 17395438
v3.11-rc4, 114, 281, 385, 6029, 44005, 17397795
v3.11-rc5, 56, 165, 188, 2993, 44004, 17397796
v3.11-rc6, 58, 113, 184, 2357, 44004, 17399309
v3.11-rc7, 56, 111, 150, 1501, 44004, 17399086
v3.12, 1413, 10596, 8605, 817206, 44591, 17723940
v3.12-rc1, 0, 0, 1412, 22596, 44605, 17717758
v3.12-rc2, 89, 304, 461, 6325, 44607, 17720257
v3.12-rc3, 48, 198, 230, 3608, 44608, 17720645
v3.12-rc4, 108, 263, 316, 4571, 44594, 17722430
v3.12-rc5, 38, 113, 148, 1194, 44594, 17722058
v3.12-rc6, 29, 111, 121, 2162, 44591, 17722654
v3.12-rc7, 79, 253, 268, 3438, 44591, 17723090
v3.13, 1541, 11867, 9786, 606862, 44975, 17927990
v3.13-rc1, 0, 0, 1548, 26718, 44953, 17917760
v3.13-rc2, 66, 243, 306, 6900, 44968, 17921768
v3.13-rc3, 86, 241, 298, 3800, 44969, 17922168
v3.13-rc4, 149, 386, 546, 7923, 44973, 17925381
v3.13-rc5, 71, 214, 218, 3195, 44974, 17925632
v3.13-rc6, 30, 73, 74, 990, 44975, 17926766
v3.13-rc7, 41, 119, 146, 2106, 44975, 17926816
v3.13-rc8, 44, 86, 127, 1493, 44975, 17927821
v3.14, 1729, 11769, 10533, 782812, 45940, 18268347
v3.14-rc1, 0, 0, 1645, 30997, 45926, 18260162
v3.14-rc2, 38, 174, 203, 4090, 45929, 18261578
v3.14-rc3, 127, 422, 543, 9312, 45935, 18265412
v3.14-rc4, 101, 290, 374, 5675, 45940, 18265975
v3.14-rc5, 53, 133, 169, 3022, 45939, 18267435
v3.14-rc6, 106, 244, 304, 4516, 45941, 18267891
v3.14-rc7, 42, 122, 149, 2050, 45940, 18268549
v3.14-rc8, 35, 83, 110, 1592, 45940, 18267997
v3.15, 1546, 13403, 10812, 872212, 46788, 18629656
v3.15-rc1, 0, 0, 2072, 59742, 46813, 18640884
v3.15-rc2, 103, 337, 952, 36730, 46785, 18623048
v3.15-rc3, 92, 222, 249, 3753, 46786, 18623197
v3.15-rc4, 35, 155, 154, 1929, 46784, 18624436
v3.15-rc5, 57, 278, 338, 6495, 46789, 18625069
v3.15-rc6, 78, 226, 260, 4433, 46787, 18627174
v3.15-rc7, 64, 150, 183, 4195, 46788, 18628133
v3.15-rc8, 38, 103, 107, 1751, 46788, 18629210
v3.16, 1547, 12390, 9781, 744138, 47433, 18875488
v3.16-rc1, 0, 0, 1508, 28379, 47424, 18868567
v3.16-rc2, 121, 240, 501, 11983, 47431, 18871238
v3.16-rc3, 87, 264, 331, 5992, 47431, 18872746
v3.16-rc4, 61, 136, 161, 1766, 47432, 18872770
v3.16-rc5, 70, 184, 204, 2411, 47432, 18874331
v3.16-rc6, 59, 240, 246, 3646, 47433, 18874445
v3.16-rc7, 47, 128, 158, 1970, 47433, 18875877
v3.17, 1570, 11876, 10285, 899523, 47503, 18860749
v3.17-rc1, 0, 0, 1386, 23017, 47500, 18854128
v3.17-rc2, 49, 218, 234, 3876, 47503, 18855256
v3.17-rc3, 99, 209, 339, 4436, 47501, 18856952
v3.17-rc4, 48, 161, 154, 2169, 47501, 18856965
v3.17-rc5, 108, 272, 331, 6048, 47503, 18859561
v3.17-rc6, 39, 160, 167, 1690, 47503, 18859305
v3.17-rc7, 82, 256, 285, 4488, 47503, 18861247
v3.18, 1452, 11010, 9153, 705175, 47986, 18990456
v3.18-rc1, 0, 0, 1655, 39854, 47955, 18977308
v3.18-rc2, 54, 413, 467, 19967, 47988, 18986765
v3.18-rc3, 125, 414, 505, 8434, 47982, 18988097
v3.18-rc4, 40, 164, 206, 3012, 47982, 18987445
v3.18-rc5, 66, 249, 271, 4291, 47986, 18990046
v3.18-rc6, 54, 168, 205, 2162, 47986, 18989932
v3.18-rc7, 48, 125, 144, 1667, 47986, 18991091
v3.19, 1396, 12334, 10656, 734383, 48440, 19126965
v3.19-rc1, 0, 0, 1226, 22422, 48437, 19123953
v3.19-rc2, 17, 49, 69, 1004, 48437, 19123529
v3.19-rc3, 35, 191, 183, 4122, 48437, 19123997
v3.19-rc4, 55, 164, 192, 2951, 48437, 19124164
v3.19-rc5, 79, 233, 263, 3525, 48439, 19126175
v3.19-rc6, 72, 195, 256, 4665, 48439, 19125596
v3.19-rc7, 58, 161, 236, 3795, 48439, 19127415
v3.2, 0, 0, 44937, 10512960, 37618, 14995047
v3.2-rc1, 0, 0, 1550, 32561, 37624, 14989324
v3.2-rc2, 79, 245, 286, 6425, 37625, 14989523
v3.2-rc3, 120, 347, 451, 7166, 37619, 14990687
v3.2-rc4, 68, 187, 245, 4889, 37619, 14991444
v3.2-rc5, 107, 305, 371, 6308, 37618, 14992936
v3.2-rc6, 54, 129, 160, 3212, 37618, 14992808
v3.2-rc7, 53, 165, 193, 4195, 37618, 14995505
v3.3, 1470, 10052, 10437, 780867, 38083, 15162320
v3.3-rc1, 0, 0, 1765, 75730, 38174, 15204618
v3.3-rc2, 135, 380, 586, 13815, 38166, 15201133
v3.3-rc3, 80, 208, 250, 4237, 38167, 15201480
v3.3-rc4, 118, 252, 501, 46849, 38077, 15161575
v3.3-rc5, 48, 150, 199, 2650, 38079, 15162683
v3.3-rc6, 56, 159, 193, 1929, 38079, 15162720
v3.3-rc7, 89, 152, 221, 1958, 38079, 15163874
v3.4, 1458, 10500, 10928, 823257, 38567, 15380245
v3.4-rc1, 0, 0, 1684, 31670, 38534, 15372079
v3.4-rc2, 129, 378, 611, 12357, 38561, 15376446
v3.4-rc3, 97, 286, 362, 6050, 38564, 15377852
v3.4-rc4, 70, 166, 221, 2986, 38564, 15377672
v3.4-rc5, 93, 238, 284, 4076, 38566, 15379296
v3.4-rc6, 65, 178, 225, 3553, 38566, 15379657
v3.4-rc7, 44, 101, 133, 1528, 38566, 15380449
v3.5, 1335, 10562, 9443, 877620, 39097, 15592767
v3.5-rc1, 0, 0, 1419, 25356, 39119, 15585273
v3.5-rc2, 44, 172, 197, 5298, 39127, 15586991
v3.5-rc3, 90, 248, 321, 6207, 39094, 15590136
v3.5-rc4, 75, 193, 322, 3430, 39097, 15590526
v3.5-rc5, 67, 204, 257, 2625, 39097, 15591681
v3.5-rc6, 71, 117, 172, 2551, 39097, 15591654
v3.5-rc7, 65, 161, 187, 2952, 39096, 15593010
v3.6, 1478, 9848, 8266, 678591, 39734, 15864417
v3.6-rc1, 0, 0, 1666, 29213, 39757, 15858090
v3.6-rc2, 82, 314, 486, 7966, 39733, 15859684
v3.6-rc3, 112, 368, 436, 9139, 39733, 15861681
v3.6-rc4, 65, 178, 222, 3281, 39734, 15861608
v3.6-rc5, 62, 98, 149, 1307, 39734, 15862735
v3.6-rc6, 104, 256, 376, 4903, 39734, 15863626
v3.6-rc7, 68, 140, 182, 2126, 39735, 15864706
v3.7, 1691, 11436, 13561, 1036431, 40906, 16188081
v3.7-rc1, 0, 0, 1771, 40329, 40938, 16182378
v3.7-rc2, 99, 232, 597, 16286, 40890, 16182538
v3.7-rc3, 152, 395, 449, 9450, 40899, 16184940
v3.7-rc4, 35, 172, 195, 3350, 40902, 16185302
v3.7-rc5, 47, 124, 202, 2834, 40901, 16186488
v3.7-rc6, 69, 131, 182, 3457, 40905, 16187379
v3.7-rc7, 61, 156, 162, 2024, 40905, 16188865
v3.7-rc8, 66, 133, 166, 2755, 40906, 16187928
v3.8, 1561, 12014, 11285, 824362, 41521, 16413918
v3.8-rc1, 0, 0, 2464, 41983, 41507, 16402247
v3.8-rc2, 29, 103, 200, 2993, 41502, 16403544
v3.8-rc3, 90, 290, 1405, 15840, 41505, 16403042
v3.8-rc4, 120, 238, 355, 12255, 41520, 16411433
v3.8-rc5, 84, 227, 248, 3288, 41520, 16411615
v3.8-rc6, 74, 204, 249, 3273, 41520, 16413180
v3.8-rc7, 73, 157, 198, 2730, 41521, 16413148
v3.9, 1610, 11445, 10983, 838755, 42424, 16683924
v3.9-rc1, 0, 0, 1583, 28924, 42424, 16674130
v3.9-rc2, 71, 213, 312, 5386, 42425, 16677472
v3.9-rc3, 109, 235, 355, 4242, 42425, 16677764
v3.9-rc4, 109, 247, 300, 4760, 42425, 16679976
v3.9-rc5, 75, 220, 270, 4562, 42425, 16680868
v3.9-rc6, 98, 205, 268, 4029, 42425, 16682539
v3.9-rc7, 69, 149, 167, 2741, 42427, 16682580
v3.9-rc8, 59, 124, 191, 3579, 42423, 16683855
v4.0, 16522, 128057, 35998, 7013664, 48957, 19308748
v4.0-rc1, 0, 0, 1248, 21241, 48947, 19303885
v4.0-rc2, 36, 144, 162, 1797, 48951, 19303840
v4.0-rc3, 109, 316, 340, 5676, 48954, 19306184
v4.0-rc4, 100, 234, 261, 4263, 48959, 19306815
v4.0-rc5, 74, 260, 281, 5138, 48956, 19307875
v4.0-rc6, 39, 114, 127, 1943, 48957, 19307812
v4.0-rc7, 41, 165, 183, 2272, 48957, 19309326
v4.1, 1341, 11707, 9965, 634858, 49457, 19508862
v4.1-rc1, 0, 0, 1243, 23438, 49453, 19504826
v4.1-rc2, 55, 164, 226, 4317, 49454, 19505147
v4.1-rc3, 47, 194, 230, 3701, 49456, 19507308
v4.1-rc4, 82, 269, 330, 7307, 49457, 19506379
v4.1-rc5, 53, 163, 184, 2051, 49456, 19507750
v4.1-rc6, 49, 151, 198, 3056, 49456, 19507844
v4.1-rc7, 36, 128, 145, 1891, 49457, 19509239
v4.1-rc8, 32, 95, 96, 1267, 49457, 19508754
v4.10, 13770, 115798, 37904, 6939726, 57202, 22839969
v4.10-rc1, 0, 0, 1419, 23578, 57202, 22833601
v4.10-rc2, 8, 25, 43, 858, 57203, 22834289
v4.10-rc3, 105, 264, 289, 4158, 57202, 22834639
v4.10-rc4, 90, 265, 312, 4664, 57203, 22836347
v4.10-rc5, 70, 236, 267, 3112, 57203, 22836851
v4.10-rc6, 93, 305, 327, 5326, 57203, 22838607
v4.10-rc7, 45, 149, 187, 2961, 57202, 22838552
v4.10-rc8, 43, 162, 187, 2133, 57202, 22839747
v4.11, 1522, 12456, 12531, 763456, 57994, 23137179
v4.11-rc1, 0, 0, 1722, 36474, 57986, 23125177
v4.11-rc2, 57, 279, 384, 6631, 57992, 23127374
v4.11-rc3, 88, 319, 368, 8666, 57994, 23130762
