Version, NC, NO, E_Module, E_Line
v2.6.30-rc3, 94, 426, 676, 15940
v2.6.30-rc4, 124, 401, 527, 29564
v2.6.30-rc5, 98, 294, 426, 17351
v2.6.30-rc6, 72, 231, 377, 10017
v2.6.30-rc7, 57, 129, 205, 11408
v2.6.30-rc8, 72, 172, 227, 3921
v2.6.31, 1715, 10089, 8836, 1266817
v2.6.31-rc1, 0, 0, 2633, 101533
v2.6.31-rc2, 110, 484, 664, 22449
v2.6.31-rc3, 126, 422, 808, 22028
v2.6.31-rc4, 79, 207, 291, 6951
v2.6.31-rc5, 95, 341, 466, 32647
v2.6.31-rc6, 130, 448, 521, 11196
v2.6.31-rc7, 54, 190, 290, 5143
v2.6.31-rc8, 45, 114, 140, 2606
v2.6.31-rc9, 27, 86, 98, 1515
v2.6.32, 1688, 10134, 10233, 1576607
v2.6.32-rc1, 0, 0, 2775, 169827
v2.6.32-rc2, 0, 0, 0, 0 
v2.6.32-rc3, 71, 314, 574, 35567
v2.6.32-rc4, 111, 360, 1068, 86056
v2.6.32-rc5, 74, 215, 278, 14009
v2.6.32-rc6, 145, 427, 583, 15927
v2.6.32-rc7, 113, 278, 382, 10657
v2.6.32-rc8, 47, 152, 190, 3217
v2.6.33, 1504, 10468, 9632, 1244730
v2.6.33-rc1, 0, 0, 2390, 88432
v2.6.33-rc2, 83, 386, 690, 25103
v2.6.33-rc3, 68, 248, 363, 9889
v2.6.33-rc4, 81, 350, 487, 13938
v2.6.33-rc5, 92, 440, 484, 18888
v2.6.33-rc6, 67, 260, 320, 7643
v2.6.33-rc7, 69, 187, 234, 7930
v2.6.33-rc8, 56, 168, 221, 4009
v2.6.34, 1420, 8938, 10988, 813192
v2.6.34-rc1, 0, 0, 6869, 229217
v2.6.34-rc2, 224, 1513, 2159, 173582
v2.6.34-rc3, 100, 311, 356, 5324
v2.6.34-rc4, 104, 480, 4588, 32443
v2.6.34-rc5, 46, 160, 195, 4995
v2.6.34-rc6, 98, 287, 429, 9165
v2.6.34-rc7, 74, 240, 283, 4124
v2.6.35, 1555, 9095, 8869, 1106263
v2.6.35-rc1, 0, 0, 2019, 304514
v2.6.35-rc2, 148, 600, 901, 89074
v2.6.35-rc3, 54, 136, 165, 2485
v2.6.35-rc4, 134, 291, 441, 7063
v2.6.35-rc5, 38, 128, 342, 199609
v2.6.35-rc6, 55, 147, 269, 4805
v2.6.36, 1507, 8881, 9155, 1135701
v2.6.36-rc1, 0, 0, 1622, 39845
v2.6.36-rc2, 49, 188, 276, 8789
v2.6.36-rc3, 96, 285, 436, 14019
v2.6.36-rc4, 96, 372, 431, 7496
v2.6.36-rc5, 49, 184, 214, 3519
v2.6.36-rc6, 88, 198, 247, 3163
v2.6.36-rc7, 38, 128, 167, 1554
v2.6.36-rc8, 47, 154, 166, 2452
v2.6.37, 1810, 10455, 10909, 1521851
v2.6.37-rc1, 0, 0, 2085, 53860
v2.6.37-rc2, 162, 449, 680, 17108
v2.6.37-rc3, 53, 129, 412, 3803
v2.6.37-rc4, 111, 282, 351, 13873
v2.6.37-rc5, 81, 168, 274, 7353
v2.6.37-rc6, 83, 258, 325, 4857
v2.6.37-rc7, 30, 157, 184, 3640
v2.6.37-rc8, 54, 135, 176, 2319
v2.6.38, 1410, 9064, 8706, 828733
v2.6.38-rc1, 0, 0, 2426, 45162
v2.6.38-rc2, 67, 297, 941, 13693
v2.6.38-rc3, 118, 325, 516, 10950
v2.6.38-rc4, 79, 249, 254, 4204
v2.6.38-rc5, 72, 257, 378, 5356
v2.6.38-rc6, 34, 148, 171, 4316
v2.6.38-rc7, 66, 148, 198, 2473
v2.6.38-rc8, 55, 168, 196, 2336
v2.6.39, 1348, 9871, 10645, 917908
v2.6.39-rc1, 0, 0, 3786, 38099
v2.6.39-rc2, 73, 254, 444, 6111
v2.6.39-rc3, 63, 151, 2628, 13807
v2.6.39-rc4, 68, 238, 286, 5480
v2.6.39-rc5, 66, 181, 236, 3245
v2.6.39-rc6, 72, 209, 241, 3625
v2.6.39-rc7, 24, 87, 111, 2664
v3.0, 1325, 8795, 7949, 884124
v3.0-rc1, 0, 0, 1503, 52255
v3.0-rc2, 36, 162, 199, 3623
v3.0-rc3, 94, 316, 460, 7779
v3.0-rc4, 124, 256, 359, 7103
v3.0-rc5, 49, 157, 182, 2580
v3.0-rc6, 85, 382, 213, 25891
v3.0-rc7, 79, 186, 220, 3680
v3.1, 1175, 8394, 8847, 910475
v3.1-rc1, 0, 0, 1400, 39799
v3.1-rc10, 386, 1315, 1367, 39078
v3.1-rc2, 0, 0, 1125, 21337
v3.1-rc3, 36, 168, 165, 6104
v3.1-rc4, 66, 218, 343, 4834
v3.1-rc5, 37, 115, 122, 1169
v3.1-rc6, 48, 99, 113, 1822
v3.1-rc7, 79, 219, 283, 4665
v3.1-rc8, 18, 61, 66, 891
v3.1-rc9, 24, 95, 107, 1283
v3.10, 13695, 99524, 35494, 6780975
v3.10-rc1, 0, 0, 1657, 37266
v3.10-rc2, 65, 337, 356, 6832
v3.10-rc3, 146, 330, 520, 8082
v3.10-rc4, 59, 149, 202, 5653
v3.10-rc5, 102, 220, 292, 4297
v3.10-rc6, 77, 207, 241, 4486
v3.10-rc7, 29, 133, 162, 2067
v3.11, 1520, 10499, 9641, 1023147
v3.11-rc1, 0, 0, 1769, 122650
v3.11-rc2, 52, 201, 662, 97426
v3.11-rc3, 92, 288, 339, 11636
v3.11-rc4, 114, 281, 385, 6029
v3.11-rc5, 56, 165, 188, 2993
v3.11-rc6, 58, 113, 184, 2357
v3.11-rc7, 56, 111, 150, 1501
v3.12, 1413, 10596, 8605, 817206
v3.12-rc1, 0, 0, 1412, 22596
v3.12-rc2, 89, 304, 461, 6325
v3.12-rc3, 48, 198, 230, 3608
v3.12-rc4, 108, 263, 316, 4571
v3.12-rc5, 38, 113, 148, 1194
v3.12-rc6, 29, 111, 121, 2162
v3.12-rc7, 79, 253, 268, 3438
v3.13, 1541, 11867, 9786, 606862
v3.13-rc1, 0, 0, 1548, 26718
v3.13-rc2, 66, 243, 306, 6900
v3.13-rc3, 86, 241, 298, 3800
v3.13-rc4, 149, 386, 546, 7923
v3.13-rc5, 71, 214, 218, 3195
v3.13-rc6, 30, 73, 74, 990
v3.13-rc7, 41, 119, 146, 2106
v3.13-rc8, 44, 86, 127, 1493
v3.14, 1729, 11769, 10533, 782812
v3.14-rc1, 0, 0, 1645, 30997
v3.14-rc2, 38, 174, 203, 4090
v3.14-rc3, 127, 422, 543, 9312
v3.14-rc4, 101, 290, 374, 5675
v3.14-rc5, 53, 133, 169, 3022
v3.14-rc6, 106, 244, 304, 4516
v3.14-rc7, 42, 122, 149, 2050
v3.14-rc8, 35, 83, 110, 1592
v3.15, 1546, 13403, 10812, 872212
v3.15-rc1, 0, 0, 2072, 59742
v3.15-rc2, 103, 337, 952, 36730
v3.15-rc3, 92, 222, 249, 3753
v3.15-rc4, 35, 155, 154, 1929
v3.15-rc5, 57, 278, 338, 6495
v3.15-rc6, 78, 226, 260, 4433
v3.15-rc7, 64, 150, 183, 4195
v3.15-rc8, 38, 103, 107, 1751
v3.16, 1547, 12390, 9781, 744138
v3.16-rc1, 0, 0, 1508, 28379
v3.16-rc2, 121, 240, 501, 11983
v3.16-rc3, 87, 264, 331, 5992
v3.16-rc4, 61, 136, 161, 1766
v3.16-rc5, 70, 184, 204, 2411
v3.16-rc6, 59, 240, 246, 3646
v3.16-rc7, 47, 128, 158, 1970
v3.17, 1570, 11876, 10285, 899523
v3.17-rc1, 0, 0, 1386, 23017
v3.17-rc2, 49, 218, 234, 3876
v3.17-rc3, 99, 209, 339, 4436
v3.17-rc4, 48, 161, 154, 2169
v3.17-rc5, 108, 272, 331, 6048
v3.17-rc6, 39, 160, 167, 1690
v3.17-rc7, 82, 256, 285, 4488
v3.18, 1452, 11010, 9153, 705175
v3.18-rc1, 0, 0, 1655, 39854
v3.18-rc2, 54, 413, 467, 19967
v3.18-rc3, 125, 414, 505, 8434
v3.18-rc4, 40, 164, 206, 3012
v3.18-rc5, 66, 249, 271, 4291
v3.18-rc6, 54, 168, 205, 2162
v3.18-rc7, 48, 125, 144, 1667
v3.19, 1396, 12334, 10656, 734383
v3.19-rc1, 0, 0, 1226, 22422
v3.19-rc2, 17, 49, 69, 1004
v3.19-rc3, 35, 191, 183, 4122
v3.19-rc4, 55, 164, 192, 2951
v3.19-rc5, 79, 233, 263, 3525
v3.19-rc6, 72, 195, 256, 4665
v3.19-rc7, 58, 161, 236, 3795
v3.2, 0, 0, 44937, 10512960
v3.2-rc1, 0, 0, 1550, 32561
v3.2-rc2, 79, 245, 286, 6425
v3.2-rc3, 120, 347, 451, 7166
v3.2-rc4, 68, 187, 245, 4889
v3.2-rc5, 107, 305, 371, 6308
v3.2-rc6, 54, 129, 160, 3212
v3.2-rc7, 53, 165, 193, 4195
v3.3, 1470, 10052, 10437, 780867
v3.3-rc1, 0, 0, 1765, 75730
v3.3-rc2, 135, 380, 586, 13815
v3.3-rc3, 80, 208, 250, 4237
v3.3-rc4, 118, 252, 501, 46849
v3.3-rc5, 48, 150, 199, 2650
v3.3-rc6, 56, 159, 193, 1929
v3.3-rc7, 89, 152, 221, 1958
v3.4, 1458, 10500, 10928, 823257
v3.4-rc1, 0, 0, 1684, 31670
v3.4-rc2, 129, 378, 611, 12357
v3.4-rc3, 97, 286, 362, 6050
v3.4-rc4, 70, 166, 221, 2986
v3.4-rc5, 93, 238, 284, 4076
v3.4-rc6, 65, 178, 225, 3553
v3.4-rc7, 44, 101, 133, 1528
v3.5, 1335, 10562, 9443, 877620
v3.5-rc1, 0, 0, 1419, 25356
v3.5-rc2, 44, 172, 197, 5298
v3.5-rc3, 90, 248, 321, 6207
v3.5-rc4, 75, 193, 322, 3430
v3.5-rc5, 67, 204, 257, 2625
v3.5-rc6, 71, 117, 172, 2551
v3.5-rc7, 65, 161, 187, 2952
v3.6, 1478, 9848, 8266, 678591
v3.6-rc1, 0, 0, 1666, 29213
v3.6-rc2, 82, 314, 486, 7966
v3.6-rc3, 112, 368, 436, 9139
v3.6-rc4, 65, 178, 222, 3281
v3.6-rc5, 62, 98, 149, 1307
v3.6-rc6, 104, 256, 376, 4903
v3.6-rc7, 68, 140, 182, 2126
v3.7, 1691, 11436, 13561, 1036431
v3.7-rc1, 0, 0, 1771, 40329
v3.7-rc2, 99, 232, 597, 16286
v3.7-rc3, 152, 395, 449, 9450
v3.7-rc4, 35, 172, 195, 3350
v3.7-rc5, 47, 124, 202, 2834
v3.7-rc6, 69, 131, 182, 3457
v3.7-rc7, 61, 156, 162, 2024
v3.7-rc8, 66, 133, 166, 2755
v3.8, 1561, 12014, 11285, 824362
v3.8-rc1, 0, 0, 2464, 41983
v3.8-rc2, 29, 103, 200, 2993
v3.8-rc3, 90, 290, 1405, 15840
v3.8-rc4, 120, 238, 355, 12255
v3.8-rc5, 84, 227, 248, 3288
v3.8-rc6, 74, 204, 249, 3273
v3.8-rc7, 73, 157, 198, 2730
v3.9, 1610, 11445, 10983, 838755
v3.9-rc1, 0, 0, 1583, 28924
v3.9-rc2, 71, 213, 312, 5386
v3.9-rc3, 109, 235, 355, 4242
v3.9-rc4, 109, 247, 300, 4760
v3.9-rc5, 75, 220, 270, 4562
v3.9-rc6, 98, 205, 268, 4029
v3.9-rc7, 69, 149, 167, 2741
v3.9-rc8, 59, 124, 191, 3579
v4.0, 16522, 128057, 35998, 7013664
v4.0-rc1, 0, 0, 1248, 21241
v4.0-rc2, 36, 144, 162, 1797
v4.0-rc3, 109, 316, 340, 5676
v4.0-rc4, 100, 234, 261, 4263
v4.0-rc5, 74, 260, 281, 5138
v4.0-rc6, 39, 114, 127, 1943
v4.0-rc7, 41, 165, 183, 2272
v4.1, 1341, 11707, 9965, 634858
v4.1-rc1, 0, 0, 1243, 23438
v4.1-rc2, 55, 164, 226, 4317
v4.1-rc3, 47, 194, 230, 3701
v4.1-rc4, 82, 269, 330, 7307
v4.1-rc5, 53, 163, 184, 2051
v4.1-rc6, 49, 151, 198, 3056
v4.1-rc7, 36, 128, 145, 1891
v4.1-rc8, 32, 95, 96, 1267
v4.10, 13770, 115798, 37904, 6939726
v4.10-rc1, 0, 0, 1419, 23578
v4.10-rc2, 8, 25, 43, 858
v4.10-rc3, 105, 264, 289, 4158
v4.10-rc4, 90, 265, 312, 4664
v4.10-rc5, 70, 236, 267, 3112
v4.10-rc6, 93, 305, 327, 5326
v4.10-rc7, 45, 149, 187, 2961
v4.10-rc8, 43, 162, 187, 2133
v4.11, 1522, 12456, 12531, 763456
v4.11-rc1, 0, 0, 1722, 36474
v4.11-rc2, 57, 279, 384, 6631
v4.11-rc3, 88, 319, 368, 8666
v4.11-rc4, 92, 311, 395, 6322
v4.11-rc5, 58, 188, 209, 5106
v4.11-rc6, 74, 208, 275, 4658
v4.11-rc7, 56, 172, 190, 3223
v4.11-rc8, 28, 98, 96, 1526
v4.12, 1673, 14179, 12435, 1568681
v4.12-rc1, 0, 0, 1703, 28450
v4.12-rc2, 102, 306, 407, 5003
v4.12-rc3, 59, 233, 266, 5998
v4.12-rc4, 43, 206, 228, 3248
v4.12-rc5, 113, 348, 418, 5952
v4.12-rc6, 78, 208, 331, 5028
v4.12-rc7, 48, 144, 160, 2169
v4.13, 1532, 12737, 10795, 1054074
v4.13-rc1, 0, 0, 1762, 55839
v4.13-rc2, 69, 350, 450, 16283
v4.13-rc3, 47, 191, 223, 3414
v4.13-rc4, 96, 315, 399, 23029
v4.13-rc5, 85, 248, 291, 6112
v4.13-rc6, 65, 148, 201, 2158
v4.13-rc7, 66, 158, 221, 2299
v4.14, 1598, 13322, 23240, 965017
v4.14-rc1, 0, 0, 14059, 44430
v4.14-rc2, 65, 298, 365, 8057
v4.14-rc3, 61, 262, 236, 4681
v4.14-rc4, 139, 332, 420, 6595
v4.14-rc5, 58, 211, 245, 2992
v4.14-rc6, 91, 251, 312, 5146
v4.14-rc7, 57, 153, 202, 3686
v4.14-rc8, 37, 172, 12798, 14486
v4.15, 1773, 14570, 13239, 899680
v4.15-rc1, 0, 0, 2653, 48309
v4.15-rc2, 96, 367, 626, 8707
v4.15-rc3, 149, 434, 928, 13532
v4.15-rc4, 74, 250, 339, 5457
v4.15-rc5, 73, 232, 285, 5858
v4.15-rc6, 54, 195, 249, 4106
v4.15-rc7, 44, 118, 149, 1501
v4.15-rc8, 60, 220, 259, 4775
v4.15-rc9, 58, 205, 219, 3812
v4.16, 1587, 13414, 12087, 824224
v4.16-rc1, 0, 0, 1742, 31633
v4.16-rc2, 36, 235, 281, 6289
v4.16-rc3, 92, 306, 410, 4917
v4.16-rc4, 94, 284, 350, 5213
v4.16-rc5, 82, 302, 309, 5738
v4.16-rc6, 28, 119, 135, 1774
v4.16-rc7, 112, 348, 388, 6004
v4.17, 1479, 13470, 14304, 1477692
v4.17-rc1, 0, 0, 1737, 32394
v4.17-rc2, 56, 277, 325, 8134
v4.17-rc3, 81, 355, 396, 6636
v4.17-rc4, 78, 232, 333, 3438
v4.17-rc5, 71, 212, 263, 3477
v4.17-rc6, 71, 198, 232, 4006
v4.17-rc7, 91, 239, 288, 5336
v4.18, 1664, 12919, 12996, 1142295
v4.18-rc1, 0, 0, 1685, 27596
v4.18-rc2, 47, 299, 347, 6228
v4.18-rc3, 104, 254, 391, 4714
v4.18-rc4, 67, 226, 283, 4193
v4.18-rc5, 36, 141, 138, 1776
v4.18-rc6, 100, 280, 356, 4796
v4.18-rc7, 58, 168, 203, 3088
v4.18-rc8, 45, 169, 195, 2279
v4.19, 1504, 13765, 11637, 745221
v4.19-rc1, 0, 0, 1637, 27869
v4.19-rc2, 57, 210, 239, 3857
v4.19-rc3, 78, 232, 325, 4894
v4.19-rc4, 94, 235, 300, 4722
v4.19-rc5, 51, 191, 228, 3368
v4.19-rc6, 56, 188, 234, 2963
v4.19-rc7, 101, 269, 314, 4548
v4.19-rc8, 48, 124, 151, 1980
v4.2, 0, 0, 58621, 12701723
v4.2-rc1, 0, 0, 1594, 31666
v4.2-rc2, 54, 206, 245, 7683
v4.2-rc3, 99, 328, 525, 7159
v4.2-rc4, 97, 245, 274, 3687
v4.2-rc5, 83, 254, 296, 6518
v4.2-rc6, 44, 146, 177, 2317
v4.2-rc7, 62, 139, 156, 2535
v4.2-rc8, 30, 107, 112, 1985
v4.20, 27695, 236064, 59786, 13296464
v4.20-rc1, 0, 0, 1589, 30213
v4.20-rc2, 87, 267, 339, 5588
v4.20-rc3, 45, 127, 147, 2178
v4.20-rc4, 70, 265, 281, 4598
v4.20-rc5, 110, 337, 388, 6925
v4.20-rc6, 92, 262, 294, 4348
v4.20-rc7, 40, 122, 150, 2612
v4.3, 0, 0, 58996, 12753532
v4.3-rc1, 0, 0, 1642, 22409
v4.3-rc2, 42, 250, 472, 3354
v4.3-rc3, 123, 368, 436, 7564
v4.3-rc4, 54, 236, 287, 4149
v4.3-rc5, 64, 129, 145, 1104
