Project,Model,Task,R_Squared,R_Squared_Adj,MAE,MSE,RMSE,PRED_25,PRED_50,T_Records,D_Records,P_NA
tensorflow,Line_UC,FEATURE,0.65,0.64,667.47,5093182.53,2256.81,0.87,0.87,106,0,0.491
tensorflow,Module_CC,FEATURE,0.62,0.6,0.42,2.04,1.43,0.95,0.95,106,0,0.639
tensorflow,Module_EC,FEATURE,0.89,0.89,8.55,493.74,22.22,0.94,0.94,106,0,0.519
tensorflow,Module_UC,FEATURE,0.87,0.86,10.28,1273.1,35.68,0.91,0.91,106,0,0.491
vue,Line_CC,FEATURE,0.51,0.5,41.1,54086.59,232.57,0.94,0.94,248,0,0.678
vue,Line_EC,FEATURE,1.0,1.0,0.0,0.0,0.0,1.0,1.0,248,0,0.751
vue,Line_UC,FEATURE,0.14,0.13,14.21,19977.54,141.34,0.97,0.97,248,0,0.695
vue,Module_CC,FEATURE,0.6,0.59,1.73,109.27,10.45,0.96,0.96,248,0,0.678
vue,Module_EC,FEATURE,1.0,1.0,0.0,0.0,0.0,1.0,1.0,248,0,0.751
vue,Module_UC,FEATURE,0.34,0.33,0.73,63.69,7.98,0.98,0.98,248,0,0.695
neutron,Line_CC,FEATURE,1.0,1.0,0.0,0.0,0.0,1.0,1.0,203,0,0.751
neutron,Line_EC,FEATURE,0.87,0.87,101.89,104404.64,323.12,0.96,0.96,203,0,0.596
neutron,Line_UC,FEATURE,0.61,0.6,61.43,116222.41,340.91,0.93,0.93,203,0,0.64
neutron,Module_CC,FEATURE,1.0,1.0,0.0,0.0,0.0,1.0,1.0,203,0,0.751
neutron,Module_EC,FEATURE,0.71,0.7,2.84,86.35,9.29,0.95,0.95,203,0,0.596
neutron,Module_UC,FEATURE,0.61,0.6,1.17,27.89,5.28,0.91,0.91,203,0,0.64
moby,Line_CC,FEATURE,1.0,1.0,0.0,0.0,0.0,1.0,1.0,319,0,0.751
moby,Line_EC,FEATURE,1.0,1.0,0.0,0.0,0.0,1.0,1.0,319,0,0.718
moby,Line_UC,FEATURE,0.93,0.93,24.83,15834.99,125.84,0.92,0.92,319,0,0.593
moby,Module_CC,FEATURE,1.0,1.0,0.0,0.0,0.0,1.0,1.0,319,0,0.751
moby,Module_EC,FEATURE,1.0,1.0,0.0,0.0,0.0,1.0,1.0,319,0,0.718
moby,Module_UC,FEATURE,0.55,0.54,0.68,9.03,3.01,0.93,0.93,319,0,0.593
angular,Line_CC,FEATURE,0.77,0.77,5825.73,479641052.62,21900.71,0.5,0.62,411,0,0.273
angular,Line_EC,FEATURE,0.66,0.66,3606.43,1086704572.13,32965.2,0.94,0.94,411,0,0.603
angular,Line_UC,FEATURE,0.76,0.76,1599.44,25472951.91,5047.07,0.64,0.73,411,0,0.419
angular,Module_CC,FEATURE,0.68,0.68,137.36,310399.98,557.14,0.55,0.7,411,0,0.273
angular,Module_EC,FEATURE,0.76,0.76,53.18,79328.32,281.65,0.94,0.94,411,0,0.603
angular,Module_UC,FEATURE,0.85,0.85,52.37,36897.38,192.09,0.64,0.72,411,0,0.419
home-assistant,Line_CC,FEATURE,0.72,0.72,11.0,4580.71,67.68,0.98,0.98,560,0,0.698
home-assistant,Line_EC,FEATURE,0.28,0.27,222.28,9277370.6,3045.88,0.99,0.99,560,0,0.742
home-assistant,Line_UC,FEATURE,0.67,0.67,7.55,2510.73,50.11,0.96,0.97,560,0,0.717
home-assistant,Module_CC,FEATURE,0.48,0.48,0.21,2.62,1.62,0.98,0.98,560,0,0.698
home-assistant,Module_EC,FEATURE,0.48,0.48,3.79,1825.95,42.73,0.99,0.99,560,0,0.742
home-assistant,Module_UC,FEATURE,0.26,0.25,0.43,9.37,3.06,0.96,0.96,560,0,0.717
gitlabhq,Line_CC,TESTING,0.02,0.02,99.54,2694400.71,1641.46,0.89,0.89,1154,0,0.548
gitlabhq,Line_EC,TESTING,0.93,0.93,185.51,457299.35,676.24,0.9,0.9,1154,0,0.521
gitlabhq,Line_UC,TESTING,0.89,0.89,25036.22,16156242843.78,127107.21,0.64,0.72,1154,0,0.414
gitlabhq,Module_CC,TESTING,0.66,0.66,2.55,159.62,12.63,0.92,0.92,1154,0,0.548
gitlabhq,Module_EC,TESTING,0.97,0.97,4.21,150.97,12.29,0.92,0.92,1154,0,0.521
gitlabhq,Module_UC,TESTING,0.62,0.62,393.03,7588536.56,2754.73,0.72,0.79,1154,0,0.414
node,Line_CC,FEATURE,0.86,0.86,35.93,26864.49,163.9,0.95,0.95,596,0,0.565
node,Line_EC,FEATURE,0.92,0.92,5.23,883.25,29.72,1.0,1.0,596,0,0.682
node,Line_UC,FEATURE,0.94,0.94,18.49,9624.83,98.11,0.99,0.99,596,0,0.643
node,Module_CC,FEATURE,0.92,0.92,1.51,23.13,4.81,0.96,0.96,596,0,0.565
node,Module_EC,FEATURE,0.89,0.89,0.48,7.29,2.7,1.0,1.0,596,0,0.682
node,Module_UC,FEATURE,0.91,0.91,0.42,4.84,2.2,0.98,0.98,596,0,0.643
tensorflow,Line_CC,UPGRADE,-0.01,-0.05,349.65,4804103.34,2191.83,0.92,0.92,106,0,0.448
tensorflow,Line_EC,UPGRADE,-0.01,-0.05,12434.67,8720004198.16,93380.96,0.84,0.84,106,0,0.476
