,Project,Model,Task,R_Squared,R_Squared_Adj,MAE,MSE,RMSE,PRED_25,PRED_50,T_Records
0,angular.js,Line,REFACTOR,0.64,0.62,4798.66,93957799.38,9693.18,0.33,0.62,153
0,angular.js,Line,RELEASE,0.55,0.52,112.46,37361.81,193.29,0.19,0.41,126
0,angular.js,Line,SUPPORT,0.07,-0.16,77.5,11439.51,106.96,0.27,0.27,41
0,angular.js,Line,TESTING,0.71,0.69,1767.57,9937845.66,3152.43,0.45,0.62,158
0,angular.js,Line,UPGRADE,0.29,0.21,7417.1,211067033.76,14528.15,0.29,0.43,84
0,angular.js,Module,BUG,0.91,0.9,140.3,87471.49,295.76,0.61,0.8,196
0,angular.js,Module,DOCS,0.95,0.95,51.9,12531.89,111.95,0.56,0.83,191
0,angular.js,Module,FEATURE,0.9,0.89,30.24,5049.0,71.06,0.79,0.87,152
0,angular.js,Module,OTHER,0.26,0.21,235.04,381770.71,617.88,0.52,0.65,182
0,angular.js,Module,REFACTOR,0.85,0.84,25.48,4863.17,69.74,0.69,0.92,153
0,angular.js,Module,RELEASE,0.96,0.96,1.34,5.86,2.42,0.84,0.94,126
0,angular.js,Module,SUPPORT,0.53,0.33,5.37,51.74,7.19,0.09,0.55,41
0,angular.js,Module,TESTING,0.95,0.95,11.24,325.73,18.05,0.78,0.92,158
0,angular.js,Module,UPGRADE,0.97,0.96,5.38,108.05,10.39,0.86,0.86,84
0,ansible,Line,BUG,0.98,0.98,9877.81,646561712.75,25427.58,0.73,0.85,246
0,ansible,Line,DOCS,0.52,0.5,32651.46,15748307021.18,125492.26,0.71,0.82,180
0,ansible,Line,FEATURE,0.96,0.96,2959.25,32534255.32,5703.88,0.81,0.88,125
0,ansible,Line,OTHER,0.93,0.93,88849.83,58953967922.87,242804.38,0.64,0.66,266
0,ansible,Line,REFACTOR,0.98,0.98,6557.5,192990933.46,13892.12,0.74,0.94,122
0,ansible,Line,RELEASE,0.6,0.59,272.55,253836.17,503.82,0.75,0.84,251
0,ansible,Line,SUPPORT,1.0,1.0,648.19,2612415.51,1616.3,0.89,0.96,182
0,ansible,Line,TESTING,0.92,0.92,13586.85,2045275271.68,45224.72,0.87,0.93,214
0,ansible,Line,UPGRADE,0.77,0.76,687.28,2440445.57,1562.19,0.67,0.77,154
0,ansible,Module,BUG,0.98,0.98,454.84,1444201.57,1201.75,0.77,0.89,246
0,ansible,Module,DOCS,0.83,0.82,640.4,7565844.23,2750.61,0.76,0.87,180
0,ansible,Module,FEATURE,0.95,0.94,46.06,10869.8,104.26,0.91,0.97,125
0,ansible,Module,OTHER,0.97,0.97,1386.28,11803274.26,3435.59,0.7,0.78,266
0,ansible,Module,REFACTOR,1.0,1.0,72.83,23681.7,153.89,0.9,0.9,122
0,ansible,Module,RELEASE,0.9,0.89,6.78,134.43,11.59,0.94,0.98,251
0,ansible,Module,SUPPORT,0.97,0.97,32.63,15034.23,122.61,0.98,0.98,182
0,ansible,Module,TESTING,0.95,0.95,577.22,2656244.08,1629.8,0.89,0.96,214
0,ansible,Module,UPGRADE,0.96,0.96,8.61,268.45,16.38,0.79,0.97,154
0,brew,Line,BUG,-0.05,-0.16,1413.85,26528290.45,5150.56,0.09,0.09,86
0,brew,Line,DOCS,-0.5,-0.77,172.19,128511.07,358.48,0.29,0.29,55
0,brew,Line,FEATURE,1.0,1.0,0.0,0.0,0.0,,,10
0,brew,Line,OTHER,0.1,0.02,2331.28,63671903.12,7979.47,0.07,0.26,107
0,brew,Line,REFACTOR,-302.84,-454.76,175.52,56589.25,237.88,0.14,0.14,27
0,brew,Line,RELEASE,0.0,2.0,2.81,15.28,3.91,0.0,0.0,8
0,brew,Line,SUPPORT,-0.07,-1.14,59.52,16434.4,128.2,0.0,0.33,20
0,brew,Line,TESTING,0.85,0.83,183.51,133269.03,365.06,0.12,0.24,66
0,brew,Line,UPGRADE,0.01,-0.12,9.9,363.73,19.07,0.0,0.11,71
0,brew,Module,BUG,-0.05,-0.23,53.09,19406.5,139.31,0.64,0.64,86
0,brew,Module,DOCS,-1.54,-2.3,15.15,873.0,29.55,0.43,0.43,55
0,brew,Module,FEATURE,1.0,1.0,0.0,0.0,0.0,,,10
0,brew,Module,OTHER,0.06,-0.06,127.26,122373.49,349.82,0.15,0.52,107
0,brew,Module,REFACTOR,-9.26,-19.52,3.66,23.92,4.89,1.0,1.0,27
0,brew,Module,RELEASE,0.0,1.5,0.25,0.11,0.34,1.0,1.0,8
0,brew,Module,SUPPORT,-0.19,-3.76,5.31,103.19,10.16,0.6,0.6,20
0,brew,Module,TESTING,0.52,0.41,21.03,2658.52,51.56,0.47,0.53,66
0,brew,Module,UPGRADE,0.16,-0.02,6.02,211.52,14.54,0.89,0.89,71
0,browser-sync,Line,BUG,-3.87,-4.29,694.09,4452620.78,2110.12,0.19,0.38,103
0,browser-sync,Line,DOCS,-0.44,-1.4,37.8,2555.88,50.56,0.0,0.17,21
0,browser-sync,Line,FEATURE,-0.22,-1.03,2653.21,39409489.51,6277.7,0.17,0.33,22
0,browser-sync,Line,REFACTOR,-0.29,2.29,148.0,28355.3,168.39,0.5,0.5,5
0,browser-sync,Line,TESTING,-48.42,-73.13,317.5,128744.11,358.81,0.0,0.0,28
0,browser-sync,Line,UPGRADE,,,10.95,119.98,10.95,0.0,0.0,4
0,browser-sync,Module,BUG,-0.7,-0.93,3.11,52.21,7.23,0.85,0.92,103
0,browser-sync,Module,DOCS,-5.26,-14.65,3.44,24.33,4.93,0.17,0.33,21
0,browser-sync,Module,FEATURE,-0.15,-1.88,18.4,1548.64,39.35,0.33,0.67,22
0,browser-sync,Module,REFACTOR,-0.54,1.77,2.5,9.62,3.1,0.5,0.5,5
0,browser-sync,Module,TESTING,-202.63,-406.26,8.34,274.28,16.56,0.43,0.43,28
0,browser-sync,Module,UPGRADE,,,0.76,0.58,0.76,0.0,1.0,4
0,cf-deployment,Line,BUG,-12.34,-14.39,231.38,288825.1,537.42,0.0,0.19,64
0,cf-deployment,Line,DOCS,-6.85,-22.55,125.79,33643.2,183.42,0.25,0.25,16
0,cf-deployment,Line,FEATURE,,,9.0,81.0,9.0,0.0,1.0,2
0,cf-deployment,Line,OTHER,-10.99,-11.74,1169.28,13559158.21,3682.28,0.23,0.46,139
0,cf-deployment,Line,REFACTOR,-101.08,103.08,268.42,74418.07,272.8,0.0,0.0,5
0,cf-deployment,Line,RELEASE,0.16,0.11,773.4,9690488.03,3112.95,0.57,0.8,140
0,cf-deployment,Line,SUPPORT,-0.26,-0.89,147.1,60988.74,246.96,0.29,0.71,25
0,cf-deployment,Line,TESTING,-0.06,-0.18,1232.4,14014324.24,3743.57,0.2,0.25,79
0,cf-deployment,Line,UPGRADE,-0.88,2.88,46.0,3988.0,63.15,0.5,0.5,8
0,cf-deployment,Module,BUG,0.03,-0.21,3.65,36.72,6.06,0.69,0.75,64
0,cf-deployment,Module,DOCS,-1.79,-1.79,1.12,1.92,1.38,0.5,1.0,16
0,cf-deployment,Module,FEATURE,,,1.0,1.0,1.0,0.0,1.0,2
0,cf-deployment,Module,OTHER,0.49,0.44,19.56,693.46,26.33,0.2,0.46,139
0,cf-deployment,Module,REFACTOR,0.0,1.5,5.19,29.4,5.42,0.0,0.0,5
0,cf-deployment,Module,RELEASE,0.75,0.73,6.61,123.45,11.11,0.71,0.94,140
0,cf-deployment,Module,SUPPORT,-0.16,-1.32,3.83,58.18,7.63,0.86,1.0,25
0,cf-deployment,Module,TESTING,0.33,0.2,9.57,392.17,19.8,0.25,0.55,79
0,cf-deployment,Module,UPGRADE,-0.86,1.93,0.66,0.47,0.68,0.5,1.0,8
0,cinder,Line,BUG,-0.24,-0.31,48145.09,11056213920.3,105148.53,0.2,0.42,158
0,cinder,Line,DOCS,0.96,0.96,819.48,1599921.56,1264.88,0.43,0.62,82
0,cinder,Line,FEATURE,0.85,0.82,916.08,1673346.6,1293.58,0.33,0.73,57
0,cinder,Line,OTHER,0.25,0.21,301255.22,645321962059.12,803319.34,0.17,0.27,161
0,cinder,Line,REFACTOR,0.58,0.52,8116.17,106283388.11,10309.38,0.31,0.5,61
0,cinder,Line,RELEASE,0.46,0.4,1228.25,4597583.67,2144.2,0.1,0.35,80
0,cinder,Line,SUPPORT,0.95,0.95,2508.19,21558070.53,4643.07,0.39,0.52,122
0,cinder,Line,TESTING,0.73,0.71,4870.54,58016518.57,7616.86,0.23,0.55,121
0,cinder,Line,UPGRADE,0.27,0.18,487.82,636656.86,797.91,0.35,0.5,80
0,cinder,Module,BUG,0.98,0.98,76.57,12654.04,112.49,0.6,0.78,158
0,cinder,Module,DOCS,0.98,0.98,17.79,605.36,24.6,0.52,0.67,82
0,cinder,Module,FEATURE,0.94,0.92,6.1,81.5,9.03,0.8,0.8,57
0,cinder,Module,OTHER,0.98,0.98,286.69,236732.35,486.55,0.66,0.93,161
0,cinder,Module,REFACTOR,0.82,0.77,28.0,1337.81,36.58,0.5,0.56,61
0,cinder,Module,RELEASE,0.9,0.88,7.17,204.63,14.31,0.75,0.95,80
0,cinder,Module,SUPPORT,0.93,0.92,55.07,8935.27,94.53,0.45,0.74,122
0,cinder,Module,TESTING,0.88,0.87,104.02,33251.8,182.35,0.58,0.68,121
0,cinder,Module,UPGRADE,0.82,0.79,8.39,173.12,13.16,0.7,0.85,80
0,cli,Line,BUG,0.74,0.64,279.06,140473.02,374.8,0.25,0.75,32
0,cli,Line,DOCS,-24.61,-24.61,230.2,62295.95,249.59,0.0,0.0,11
0,cli,Line,FEATURE,-0.22,-0.22,1747.85,8309732.24,2882.66,0.67,0.67,10
0,cli,Line,OTHER,-56.16,-75.21,352878.47,268837205250.1,518495.14,0.0,0.0,36
0,cli,Line,REFACTOR,-2.77,-4.66,3026.82,13989662.23,3740.28,0.29,0.43,25
0,cli,Line,RELEASE,-2.38,-9.14,80.76,6644.69,81.51,0.0,0.75,13
0,cli,Line,SUPPORT,-0.16,-0.93,1262.83,1674007.97,1293.83,0.0,0.33,21
0,cli,Line,TESTING,-0.14,-0.52,102422.77,85090934134.28,291703.5,0.22,0.56,33
0,cli,Line,UPGRADE,-40.26,-67.77,6073.34,107976996.3,10391.2,0.5,0.5,21
0,cli,Module,BUG,0.4,-0.05,11.29,220.41,14.85,0.5,1.0,32
0,cli,Module,DOCS,-1.9,6.8,11.56,172.96,13.15,0.33,0.33,11
0,cli,Module,FEATURE,-0.32,3.64,22.89,1474.26,38.4,0.67,0.67,10
0,cli,Module,OTHER,-10.33,-17.13,823.24,1420316.45,1191.77,0.22,0.56,36
0,cli,Module,REFACTOR,-2.5,-6.0,50.9,4924.0,70.17,0.43,0.43,25
0,cli,Module,RELEASE,-2.86,-2.86,2.31,6.34,2.52,0.5,1.0,13
0,cli,Module,SUPPORT,-1.07,-4.18,27.97,983.02,31.35,0.33,0.33,21
0,cli,Module,TESTING,-0.19,-0.9,539.96,1511118.91,1229.28,0.33,0.44,33
0,cli,Module,UPGRADE,-9.29,-24.72,45.67,7936.93,89.09,0.5,0.5,21
0,core-js,Line,BUG,0.83,0.82,1721.17,30865184.85,5555.64,0.69,0.9,116
0,core-js,Line,DOCS,-0.29,-2.87,37.76,5513.4,74.25,0.5,0.75,13
0,core-js,Line,FEATURE,0.91,0.82,514.05,641123.16,800.7,0.8,0.8,20
0,core-js,Line,OTHER,0.94,0.94,3624.73,41232196.91,6421.23,0.31,0.44,141
0,core-js,Line,REFACTOR,-6.85,-14.7,2192.22,23256532.42,4822.5,0.8,0.8,17
0,core-js,Line,RELEASE,,,558.0,311364.0,558.0,0.0,0.0,3
0,core-js,Line,SUPPORT,-178.52,-238.36,2554.6,18648884.01,4318.44,0.33,0.44,33
0,core-js,Line,TESTING,0.54,0.46,9738.23,422877652.36,20563.99,0.14,0.36,56
0,core-js,Line,UPGRADE,1.0,1.0,1.09,2.32,1.52,1.0,1.0,18
0,core-js,Module,BUG,0.92,0.91,91.58,52843.64,229.88,0.66,0.9,116
0,core-js,Module,DOCS,0.53,0.53,0.32,0.32,0.57,0.75,0.75,13
0,core-js,Module,FEATURE,0.89,0.56,110.54,20953.17,144.75,0.8,0.8,20
0,core-js,Module,OTHER,0.95,0.95,160.2,206050.22,453.93,0.69,0.75,141
0,core-js,Module,REFACTOR,0.93,0.72,39.8,6377.66,79.86,0.8,0.8,17
0,core-js,Module,RELEASE,,,0.0,0.0,0.0,1.0,1.0,3
0,core-js,Module,SUPPORT,0.5,0.2,11.36,284.56,16.87,0.44,0.56,33
0,core-js,Module,TESTING,0.62,0.51,150.77,177823.99,421.69,0.36,0.57,56
0,core-js,Module,UPGRADE,0.96,0.84,0.88,1.14,1.07,1.0,1.0,18
0,d3,Line,BUG,0.31,0.25,239.76,160990.98,401.24,0.07,0.26,107
0,d3,Module,BUG,-0.05,-0.19,9.67,354.81,18.84,0.63,0.78,107
0,dat,Line,BUG,-0.65,-1.47,2573.21,20948182.42,4576.92,0.57,0.57,28
0,dat,Line,DOCS,,,16804.8,282401303.04,16804.8,0.0,0.0,4
0,dat,Module,BUG,-1.77,-4.54,88.55,22830.76,151.1,0.57,0.86,28
0,dat,Module,DOCS,,,207.42,43023.98,207.42,0.0,0.0,4
0,devise,Line,BUG,0.2,0.11,111.45,27208.11,164.95,0.24,0.48,81
0,devise,Line,DOCS,0.9,0.87,35.45,1725.02,41.53,0.11,0.33,36
0,devise,Line,FEATURE,-535.57,-535.57,36.18,1907.79,43.68,0.0,0.0,12
0,devise,Line,OTHER,-3.08,-3.42,1359.57,8052695.0,2837.73,0.37,0.59,107
0,devise,Line,REFACTOR,-0.14,-0.52,55.51,13533.2,116.33,0.33,0.67,35
0,devise,Line,RELEASE,0.58,0.53,23.56,1413.33,37.59,0.24,0.48,82
0,devise,Line,SUPPORT,0.49,0.29,150.03,34222.87,184.99,0.38,0.62,31
0,devise,Line,TESTING,0.81,0.78,199.38,91713.96,302.84,0.38,0.56,64
0,devise,Line,UPGRADE,-0.61,-1.42,127.89,30914.98,175.83,0.43,0.57,25
0,devise,Module,BUG,0.5,0.41,9.84,223.89,14.96,0.38,0.76,81
0,devise,Module,DOCS,0.86,0.78,2.85,12.47,3.53,0.44,0.78,36
0,devise,Module,FEATURE,-0.54,4.08,1.56,6.93,2.63,0.67,0.67,12
0,devise,Module,OTHER,0.17,0.06,64.42,11108.66,105.4,0.44,0.7,107
0,devise,Module,REFACTOR,0.54,0.26,1.92,9.89,3.14,0.56,0.78,35
0,devise,Module,RELEASE,0.88,0.86,1.89,7.16,2.68,0.57,0.86,82
0,devise,Module,SUPPORT,0.83,0.7,5.96,64.58,8.04,0.88,0.88,31
0,devise,Module,TESTING,0.58,0.48,22.03,996.91,31.57,0.31,0.5,64
0,devise,Module,UPGRADE,-0.41,-1.82,6.57,79.49,8.92,0.43,0.57,25
0,elasticsearch,Line,BUG,0.99,0.99,10062.51,1506637841.15,38815.43,0.63,0.74,149
0,elasticsearch,Line,DOCS,0.99,0.99,12129.76,903566224.92,30059.38,0.73,0.78,148
0,elasticsearch,Line,FEATURE,0.83,0.82,37167.81,5872534782.34,76632.47,0.48,0.56,105
0,elasticsearch,Line,OTHER,1.0,1.0,97082.91,59240244828.39,243393.19,0.84,0.92,150
0,elasticsearch,Line,REFACTOR,1.0,1.0,2658.63,77307280.3,8792.46,0.96,0.96,108
0,elasticsearch,Line,RELEASE,0.63,0.61,3355.26,49145264.58,7010.37,0.83,0.89,142
0,elasticsearch,Line,SUPPORT,0.99,0.99,14983.3,1909547885.28,43698.37,0.82,0.82,131
0,elasticsearch,Line,TESTING,0.98,0.98,25421.83,3496858656.07,59134.24,0.72,0.83,144
0,elasticsearch,Line,UPGRADE,0.96,0.96,9546.05,775640461.98,27850.32,0.79,0.82,132
0,elasticsearch,Module,BUG,0.98,0.98,722.39,5847942.79,2418.25,0.74,0.79,149
0,elasticsearch,Module,DOCS,1.0,1.0,283.73,268289.44,517.97,0.76,0.84,148
0,elasticsearch,Module,FEATURE,0.83,0.81,309.9,605952.92,778.43,0.93,0.93,105
0,elasticsearch,Module,OTHER,1.0,1.0,6225.05,124173754.14,11143.33,0.68,0.71,150
0,elasticsearch,Module,REFACTOR,0.99,0.99,191.7,253793.79,503.78,0.89,0.93,108
0,elasticsearch,Module,RELEASE,0.57,0.53,179.85,218811.29,467.77,0.81,0.86,142
0,elasticsearch,Module,SUPPORT,0.99,0.99,439.45,1079665.33,1039.07,0.85,0.91,131
0,elasticsearch,Module,TESTING,0.98,0.98,875.53,5508748.39,2347.07,0.78,0.89,144
0,elasticsearch,Module,UPGRADE,0.99,0.99,693.99,2140904.79,1463.18,0.76,0.85,132
0,fluentd,Line,BUG,1.0,1.0,144.61,50524.58,224.78,0.5,0.65,134
0,fluentd,Module,BUG,0.94,0.93,29.52,4166.34,64.55,0.44,0.62,134
0,fpm,Line,BUG,0.08,-0.1,91.8,54996.28,234.51,0.54,0.69,51
0,fpm,Line,DOCS,-0.7,2.7,56.72,3220.69,56.75,0.0,0.0,8
0,fpm,Line,FEATURE,-11.92,-37.76,6.44,65.21,8.08,0.0,0.0,14
0,fpm,Line,OTHER,0.15,0.04,375.64,552357.15,743.21,0.44,0.67,69
0,fpm,Line,REFACTOR,,,36.54,1335.17,36.54,1.0,1.0,4
0,fpm,Line,RELEASE,-4.52,-15.56,3.99,24.85,4.99,0.25,0.5,16
0,fpm,Line,SUPPORT,-4.66,-8.43,219.09,131532.27,362.67,0.5,0.67,21
0,fpm,Line,TESTING,0.07,-0.55,99.1,12411.43,111.41,0.17,0.83,21
0,fpm,Line,UPGRADE,-2.52,-9.56,40.87,4420.96,66.49,0.75,0.75,13
0,fpm,Module,BUG,0.0,-0.33,4.71,83.17,9.12,0.62,0.92,51
0,fpm,Module,DOCS,-68.5,35.75,3.45,12.07,3.47,0.0,0.5,8
0,fpm,Module,FEATURE,0.27,0.27,0.68,0.85,0.92,0.75,0.75,14
0,fpm,Module,OTHER,0.28,0.13,25.26,4528.83,67.3,0.56,0.67,69
0,fpm,Module,REFACTOR,,,7.67,58.78,7.67,0.0,0.0,4
0,fpm,Module,RELEASE,0.17,0.17,0.34,0.21,0.46,0.75,1.0,16
0,fpm,Module,SUPPORT,-1.5,-5.25,1.95,4.52,2.13,0.33,0.83,21
0,fpm,Module,TESTING,-0.07,-1.68,7.83,288.84,17.0,0.83,0.83,21
0,fpm,Module,UPGRADE,-1.05,-1.05,6.36,77.44,8.8,0.5,0.5,13
0,generator-jhipster,Line,BUG,0.05,0.0,1032.16,9498603.63,3081.98,0.29,0.43,166
0,generator-jhipster,Line,DOCS,0.37,0.16,24.51,1434.0,37.87,0.22,0.67,35
0,generator-jhipster,Line,FEATURE,-58251.06,-81551.88,463.98,550468.71,741.94,0.0,0.0,31
0,generator-jhipster,Line,OTHER,0.29,0.26,4542.32,223001417.17,14933.23,0.4,0.42,179
0,generator-jhipster,Line,REFACTOR,0.76,0.68,857.71,2107582.18,1451.75,0.78,0.78,34
0,generator-jhipster,Line,RELEASE,0.32,0.29,1.63,25.89,5.09,0.7,0.84,173
0,generator-jhipster,Line,SUPPORT,-0.11,-0.25,666.27,1905250.47,1380.31,0.16,0.42,73
0,generator-jhipster,Line,TESTING,-0.41,-0.52,230.25,136247.01,369.12,0.48,0.69,116
0,generator-jhipster,Line,UPGRADE,0.07,-0.01,434.51,3259122.66,1805.3,0.31,0.42,101
0,generator-jhipster,Module,BUG,0.36,0.31,56.97,26537.26,162.9,0.57,0.74,166
0,generator-jhipster,Module,DOCS,0.69,0.5,0.81,1.26,1.12,0.56,1.0,35
0,generator-jhipster,Module,FEATURE,-0.82,-2.18,2.92,17.73,4.21,0.75,0.88,31
0,generator-jhipster,Module,OTHER,0.9,0.89,196.55,110504.76,332.42,0.47,0.64,179
0,generator-jhipster,Module,REFACTOR,0.69,0.5,37.03,3809.9,61.72,0.89,0.89,34
0,generator-jhipster,Module,RELEASE,0.9,0.89,0.21,0.55,0.74,0.89,1.0,173
0,generator-jhipster,Module,SUPPORT,-0.11,-0.33,60.65,40027.19,200.07,0.68,0.74,73
0,generator-jhipster,Module,TESTING,0.1,-0.01,10.15,220.33,14.84,0.66,0.79,116
0,generator-jhipster,Module,UPGRADE,0.46,0.39,9.3,743.31,27.26,0.81,0.92,101
0,gitlabhq,Line,BUG,0.6,0.6,1418.59,12143566.06,3484.76,0.47,0.68,797
0,gitlabhq,Line,DOCS,0.69,0.69,499.89,951889.06,975.65,0.57,0.71,531
0,gitlabhq,Line,FEATURE,0.42,0.41,773.15,2459267.97,1568.21,0.38,0.54,447
0,gitlabhq,Line,OTHER,0.3,0.29,23797.24,3000925205.85,54780.7,0.43,0.59,887
0,gitlabhq,Line,REFACTOR,-0.0,-0.02,1614.87,16990949.24,4122.01,0.35,0.56,352
0,gitlabhq,Line,RELEASE,0.27,0.25,149.65,192104.89,438.3,0.43,0.51,265
0,gitlabhq,Line,SUPPORT,0.87,0.87,551.87,1020881.49,1010.39,0.39,0.55,331
0,gitlabhq,Line,TESTING,0.63,0.62,919.21,5072304.76,2252.18,0.54,0.71,445
0,gitlabhq,Line,UPGRADE,0.71,0.7,1337.3,12674496.51,3560.13,0.31,0.47,361
0,gitlabhq,Module,BUG,0.96,0.96,31.47,2879.34,53.66,0.71,0.84,797
0,gitlabhq,Module,DOCS,0.92,0.92,12.17,463.55,21.53,0.68,0.84,531
0,gitlabhq,Module,FEATURE,0.64,0.63,19.45,1303.59,36.11,0.54,0.74,447
0,gitlabhq,Module,OTHER,0.94,0.94,174.08,111691.84,334.2,0.69,0.81,887
0,gitlabhq,Module,REFACTOR,0.39,0.37,31.57,4045.19,63.6,0.49,0.66,352
0,gitlabhq,Module,RELEASE,0.38,0.35,5.63,375.42,19.38,0.67,0.76,265
0,gitlabhq,Module,SUPPORT,0.86,0.85,11.88,412.7,20.32,0.58,0.7,331
0,gitlabhq,Module,TESTING,0.9,0.9,14.77,808.56,28.44,0.75,0.88,445
0,gitlabhq,Module,UPGRADE,0.11,0.08,14.72,4080.37,63.88,0.64,0.74,361
0,home-assistant,Line,BUG,-0.21,-0.24,990.5,11178151.12,3343.37,0.78,0.84,291
0,home-assistant,Line,DOCS,-3.93,-5.57,2027.76,10746999.47,3278.26,0.33,0.56,34
0,home-assistant,Line,FEATURE,-1.07,-1.59,1918.14,17280937.04,4157.03,0.82,0.82,42
0,home-assistant,Line,OTHER,0.57,0.56,6724.67,407582830.78,20188.68,0.72,0.78,368
0,home-assistant,Line,REFACTOR,0.26,0.11,4721.18,144574780.39,12023.93,0.77,0.85,49
0,home-assistant,Line,RELEASE,-13.78,-15.07,0.69,5.52,2.35,0.2,0.2,101
0,home-assistant,Line,SUPPORT,0.36,0.3,1771.0,9020159.48,3003.36,0.65,0.85,104
0,home-assistant,Line,TESTING,-0.71,-0.88,6609.94,180665464.81,13441.19,0.43,0.48,91
0,home-assistant,Line,UPGRADE,-2.78,-3.08,664.36,1514347.02,1230.59,0.46,0.64,111
0,home-assistant,Module,BUG,0.37,0.34,67.08,62220.04,249.44,0.81,0.85,291
0,home-assistant,Module,DOCS,-1.0,-2.2,123.31,39297.65,198.24,0.22,0.44,34
0,home-assistant,Module,FEATURE,-0.69,-1.41,28.21,3667.79,60.56,0.82,0.82,42
0,home-assistant,Module,OTHER,-0.59,-0.64,814.99,8290875.19,2879.39,0.8,0.84,368
0,home-assistant,Module,REFACTOR,-0.13,-0.51,31.08,5467.49,73.94,0.85,0.85,49
0,home-assistant,Module,RELEASE,-1.08,-1.36,0.11,0.1,0.32,1.0,1.0,101
0,home-assistant,Module,SUPPORT,0.59,0.53,38.5,5412.86,73.57,0.73,0.92,104
