Project,Model,Task,R_Squared,R_Squared_Adj,MAE,MSE,RMSE,PRED_25,PRED_50,T_Records,D_Records,P_NA
gitlabhq,Module_UC,DOCS,0.7,0.7,16.92,7363.34,85.81,0.7,0.8,1154,0,0.416
tensorflow,Line_CC,REFACTOR,0.86,0.85,39.61,18228.81,135.01,0.89,0.9,106,0,0.667
tensorflow,Line_EC,REFACTOR,0.47,0.45,1911.7,48400303.55,6957.03,0.78,0.84,106,0,0.519
tensorflow,Line_UC,REFACTOR,0.39,0.37,2930.01,203996903.17,14282.75,0.71,0.78,106,0,0.479
tensorflow,Module_CC,REFACTOR,0.98,0.98,0.84,19.44,4.41,0.91,0.91,106,0,0.667
tensorflow,Module_EC,REFACTOR,0.5,0.48,32.76,19453.96,139.48,0.76,0.81,106,0,0.519
tensorflow,Module_UC,REFACTOR,0.7,0.69,55.36,52921.14,230.05,0.67,0.75,106,0,0.479
vue,Line_CC,REFACTOR,0.51,0.5,47.25,48426.6,220.06,0.85,0.9,248,0,0.624
vue,Line_EC,REFACTOR,1.0,1.0,0.0,0.0,0.0,1.0,1.0,248,0,0.751
vue,Line_UC,REFACTOR,0.86,0.86,115.36,316933.74,562.97,0.88,0.89,248,0,0.643
vue,Module_CC,REFACTOR,0.92,0.92,1.0,9.46,3.08,0.86,0.9,248,0,0.624
vue,Module_EC,REFACTOR,1.0,1.0,0.0,0.0,0.0,1.0,1.0,248,0,0.751
vue,Module_UC,REFACTOR,0.98,0.98,2.33,122.31,11.06,0.89,0.91,248,0,0.643
moby,Line_CC,REFACTOR,1.0,1.0,6.04,1938.08,44.02,0.98,0.98,319,0,0.737
moby,Line_EC,REFACTOR,1.0,1.0,0.0,0.0,0.0,1.0,1.0,319,0,0.697
moby,Line_UC,REFACTOR,0.9,0.9,269.01,891725.23,944.31,0.78,0.82,319,0,0.523
moby,Module_CC,REFACTOR,1.0,1.0,0.53,14.75,3.84,0.98,0.98,319,0,0.737
moby,Module_EC,REFACTOR,1.0,1.0,0.0,0.0,0.0,1.0,1.0,319,0,0.697
moby,Module_UC,REFACTOR,0.81,0.81,4.94,193.48,13.91,0.75,0.83,319,0,0.523
neutron,Line_CC,REFACTOR,1.0,1.0,0.0,0.0,0.0,1.0,1.0,203,0,0.751
neutron,Line_EC,REFACTOR,0.96,0.96,487.57,1412993.45,1188.69,0.75,0.8,203,0,0.441
neutron,Line_UC,REFACTOR,0.88,0.88,101.88,156516.08,395.62,0.87,0.9,203,0,0.552
neutron,Module_CC,REFACTOR,1.0,1.0,0.0,0.0,0.0,1.0,1.0,203,0,0.751
neutron,Module_EC,REFACTOR,0.91,0.91,13.5,1071.31,32.73,0.72,0.81,203,0,0.441
neutron,Module_UC,REFACTOR,0.79,0.79,3.1,119.23,10.92,0.78,0.84,203,0,0.552
angular,Line_CC,REFACTOR,0.91,0.91,3595.97,77064526.2,8778.64,0.44,0.57,411,0,0.212
angular,Line_EC,REFACTOR,0.98,0.98,1366.05,76476258.08,8745.07,0.82,0.84,411,0,0.541
angular,Line_UC,REFACTOR,0.87,0.87,2259.27,76168022.59,8727.43,0.62,0.7,411,0,0.369
angular,Module_CC,REFACTOR,0.84,0.84,133.67,149413.97,386.54,0.45,0.59,411,0,0.212
angular,Module_EC,REFACTOR,0.9,0.9,41.98,40344.89,200.86,0.76,0.81,411,0,0.541
angular,Module_UC,REFACTOR,0.96,0.96,62.68,59393.37,243.71,0.6,0.73,411,0,0.369
home-assistant,Line_CC,REFACTOR,0.79,0.79,36.75,33645.5,183.43,0.94,0.95,560,0,0.692
home-assistant,Line_EC,REFACTOR,0.18,0.17,1118.13,112516948.67,10607.4,0.98,0.98,560,0,0.736
home-assistant,Line_UC,REFACTOR,0.03,0.02,269.66,24319758.6,4931.51,0.94,0.94,560,0,0.7
home-assistant,Module_CC,REFACTOR,0.85,0.85,0.61,7.8,2.79,0.94,0.95,560,0,0.692
home-assistant,Module_EC,REFACTOR,0.58,0.58,10.01,8258.88,90.88,0.99,0.99,560,0,0.736
home-assistant,Module_UC,REFACTOR,0.08,0.07,2.75,1378.43,37.13,0.94,0.95,560,0,0.7
node,Line_CC,REFACTOR,0.98,0.98,2586.08,69576558.15,8341.26,0.74,0.82,596,0,0.458
node,Line_EC,REFACTOR,1.0,1.0,1029.33,30175905.47,5493.26,0.86,0.9,596,0,0.562
node,Line_UC,REFACTOR,0.99,0.99,507.17,2183636.01,1477.71,0.74,0.78,596,0,0.38
node,Module_CC,REFACTOR,0.99,0.99,15.88,1599.05,39.99,0.81,0.9,596,0,0.458
node,Module_EC,REFACTOR,0.97,0.97,9.71,1189.7,34.49,0.87,0.92,596,0,0.562
node,Module_UC,REFACTOR,0.97,0.97,18.4,3068.75,55.4,0.71,0.76,596,0,0.38
tensorflow,Line_CC,TESTING,0.85,0.84,99.66,195135.04,441.74,0.63,0.7,106,0,0.413
tensorflow,Line_EC,TESTING,0.94,0.94,7715.31,632801801.0,25155.55,0.59,0.64,106,0,0.413
