Project,Model,Task,R_Squared,R_Squared_Adj,MAE,MSE,RMSE,PRED_25,PRED_50,T_Records
vue,Line,SUPPORT,0.99,0.99,21.18,2943.21,54.25,0.1,0.13,156,92,0.605
vue,Module,SUPPORT,1.0,1.0,3.13,161.89,12.72,0.04,0.12,156,92,0.605
home-assistant,Line,SUPPORT,0.33,0.33,1304.5,43158913.86,6569.54,0.05,0.08,345,215,0.602
home-assistant,Module,SUPPORT,0.3,0.29,30.95,33981.75,184.34,0.04,0.07,345,215,0.602
node,Line,SUPPORT,0.68,0.68,3891.23,85339031.46,9237.91,0.09,0.2,564,32,0.397
node,Module,SUPPORT,0.97,0.97,21.26,1163.46,34.11,0.3,0.45,564,32,0.397
gitlabhq,Line,SUPPORT,0.35,0.35,557.86,4292688.32,2071.88,0.06,0.1,709,445,0.548
gitlabhq,Module,SUPPORT,0.76,0.76,12.25,1318.98,36.32,0.06,0.14,709,445,0.548
moby,Line,SUPPORT,0.73,0.73,272.57,3085682.1,1756.61,0.04,0.1,113,206,0.606
moby,Module,SUPPORT,0.89,0.89,8.24,3274.15,57.22,0.07,0.12,113,206,0.606
angular,Line,OTHER,0.53,0.52,81967.04,24986599758.13,158071.5,0.04,0.09,157,254,0.355
angular,Module,OTHER,0.74,0.73,303.84,270829.47,520.41,0.1,0.25,157,254,0.355
vue,Line,OTHER,0.95,0.95,8992.63,915791753.36,30262.05,0.04,0.06,156,92,0.404
vue,Module,OTHER,1.0,1.0,29.91,12497.39,111.79,0.38,0.58,156,92,0.404
home-assistant,Line,OTHER,0.73,0.73,9162.56,826536717.52,28749.55,0.05,0.1,345,215,0.356
home-assistant,Module,OTHER,0.59,0.59,455.04,2823047.68,1680.19,0.05,0.1,345,215,0.356
node,Line,OTHER,0.94,0.94,275028.62,220222116895.33,469278.29,0.21,0.38,564,32,0.27
node,Module,OTHER,0.98,0.98,1857.65,7804625.73,2793.68,0.34,0.4,564,32,0.27
gitlabhq,Line,OTHER,0.57,0.57,28909.07,3808125170.09,61710.01,0.06,0.13,709,445,0.257
gitlabhq,Module,OTHER,0.93,0.93,309.85,351780.12,593.11,0.32,0.54,709,445,0.257
moby,Line,OTHER,0.87,0.87,14167.13,10023535652.44,100117.61,0.09,0.19,113,206,0.48
moby,Module,OTHER,0.87,0.87,386.49,9331315.9,3054.72,0.12,0.27,113,206,0.48
orleans,Line,BUG,0.82,0.81,1009.62,13985369.09,3739.7,0.06,0.18,72,42,0.402
orleans,Module,BUG,0.84,0.83,73.22,64920.03,254.79,0.08,0.22,72,42,0.402
orleans,Line,DOCS,0.69,0.68,61.93,142766.63,377.84,0.01,0.07,72,42,0.635
orleans,Module,DOCS,0.91,0.91,2.32,181.67,13.48,0.03,0.07,72,42,0.635
orleans,Line,REFACTOR,0.67,0.66,105.17,143861.75,379.29,0.03,0.04,72,42,0.645
orleans,Module,REFACTOR,0.96,0.96,2.4,29.08,5.39,0.06,0.1,72,42,0.645
orleans,Line,TESTING,0.95,0.95,584.59,1856636.81,1362.58,0.06,0.12,72,42,0.498
orleans,Module,TESTING,0.86,0.85,85.18,88536.13,297.55,0.08,0.1,72,42,0.498
cli,Line,BUG,0.0,-0.02,5191.35,246644101.31,15704.91,0.04,0.07,91,18,0.407
cli,Module,BUG,0.25,0.22,34.33,5942.32,77.09,0.21,0.47,91,18,0.407
nova,Line,BUG,0.97,0.97,1531.49,4636327.27,2153.21,0.61,0.8,87,147,0.182
nova,Module,BUG,0.98,0.98,91.37,12350.11,111.13,0.43,0.74,87,147,0.182
ansible,Line,BUG,1.0,1.0,22843.98,1062315244.53,32593.18,0.31,0.39,127,176,0.204
ansible,Module,BUG,0.98,0.98,2161.85,16817219.88,4100.88,0.28,0.35,127,176,0.204
angular.js,Line,BUG,0.68,0.68,15591.77,919040702.99,30315.68,0.06,0.17,142,62,0.151
angular.js,Module,BUG,0.92,0.92,213.41,138913.19,372.71,0.24,0.51,142,62,0.151
orleans,Line,FEATURE,0.98,0.98,273.82,4532317.05,2128.92,0.04,0.04,72,42,0.665
orleans,Module,FEATURE,0.99,0.99,22.88,31146.25,176.48,0.04,0.04,72,42,0.665
kubernetes,Line,BUG,0.41,0.41,30894.23,7908944546.32,88932.25,0.02,0.08,268,373,0.235
