Project,Model,Task,R_Squared,R_Squared_Adj,MAE,MSE,RMSE,PRED_25,PRED_50,T_Records,D_Records,P_NA
angular.js,Module,BUG,1.0,1.0,174.78,160157.06,400.2,0.42,0.7,142,62,0.151
orleans,Line,DOCS,1.0,1.0,20.31,3982.0,63.1,0.17,0.17,72,42,0.635
orleans,Module,DOCS,1.0,1.0,0.85,8.51,2.92,0.17,0.25,72,42,0.635
cli,Line,DOCS,1.0,1.0,58.82,25638.8,160.12,0.17,0.22,91,18,0.609
cli,Module,DOCS,1.0,1.0,2.19,33.57,5.79,0.3,0.3,91,18,0.609
ansible,Line,DOCS,1.0,1.0,51049.68,64073022890.86,253126.5,0.56,0.6,127,176,0.327
ansible,Module,DOCS,1.0,1.0,2157.3,91033197.99,9541.13,0.57,0.7,127,176,0.327
nova,Line,DOCS,1.0,1.0,1256.14,29235508.76,5406.99,0.69,0.78,87,147,0.379
nova,Module,DOCS,1.0,1.0,9.31,941.59,30.69,0.88,0.91,87,147,0.379
lock,Line,BUG,1.0,1.0,2052.6,92315488.06,9608.09,0.06,0.13,476,16,0.531
lock,Module,BUG,1.0,1.0,53.75,45054.51,212.26,0.25,0.38,476,16,0.531
angular.js,Line,DOCS,1.0,1.0,14532.4,2693763741.8,51901.48,0.3,0.42,142,62,0.17
angular.js,Module,DOCS,1.0,1.0,108.28,34730.0,186.36,0.32,0.54,142,62,0.17
kubernetes,Line,BUG,1.0,1.0,23286.8,9168989332.07,95754.84,0.3,0.43,268,373,0.235
kubernetes,Module,BUG,1.0,1.0,370.51,1254565.0,1120.07,0.33,0.52,268,373,0.235
orleans,Line,REFACTOR,1.0,1.0,111.74,230015.62,479.6,0.3,0.5,72,42,0.645
orleans,Module,REFACTOR,1.0,1.0,3.21,134.12,11.58,0.4,0.6,72,42,0.645
cli,Line,REFACTOR,1.0,1.0,5846.6,542852383.86,23299.19,0.15,0.42,91,18,0.51
cli,Module,REFACTOR,1.0,1.0,62.14,30235.09,173.88,0.04,0.17,91,18,0.51
ansible,Line,REFACTOR,1.0,1.0,31342.2,30378202630.15,174293.44,0.68,0.75,127,176,0.451
ansible,Module,REFACTOR,1.0,1.0,1048.06,32735792.76,5721.52,0.69,0.74,127,176,0.451
