Project,Model,Task,R_Squared,R_Squared_Adj,MAE,MSE,RMSE,PRED_25,PRED_50,T_Records,D_Records,P_NA
moby,Module,UPGRADE,0.86,0.86,4.81,96.57,9.83,0.11,0.14,319,0,0.58
angular,Line,RELEASE,0.71,0.71,188.87,129322.66,359.61,0.1,0.22,411,0,0.406
angular,Module,RELEASE,0.94,0.94,3.89,53.65,7.32,0.44,0.68,411,0,0.406
orleans,Line,UPGRADE,1.0,1.0,40.24,16093.46,126.86,0.39,0.46,114,0,0.585
orleans,Module,UPGRADE,0.99,0.99,10.69,1107.78,33.28,0.1,0.11,114,0,0.585
neutron,Line,UPGRADE,0.81,0.81,745.36,4471051.23,2114.49,0.08,0.12,203,0,0.523
neutron,Module,UPGRADE,0.9,0.9,11.56,658.35,25.66,0.08,0.19,203,0,0.523
node,Line,UPGRADE,0.87,0.87,202349.56,87548938976.93,295886.7,0.22,0.34,596,0,0.371
node,Module,UPGRADE,0.95,0.95,2331.72,7540860.06,2746.06,0.24,0.39,596,0,0.371
vue,Line,OTHER,0.92,0.92,9180.96,209405790.8,14470.86,0.16,0.26,248,0,0.412
vue,Module,OTHER,1.0,1.0,34.6,9707.92,98.53,0.29,0.54,248,0,0.412
roslyn,Line,RELEASE,0.98,0.98,367.04,1401769.95,1183.96,0.05,0.08,102,0,0.553
roslyn,Module,RELEASE,0.95,0.95,18.73,2438.72,49.38,0.07,0.1,102,0,0.553
ansible,Line,RELEASE,0.81,0.81,754.25,1073417.17,1036.06,0.08,0.24,303,0,0.357
ansible,Module,RELEASE,0.97,0.97,14.12,469.19,21.66,0.36,0.54,303,0,0.357
tensorflow,Line,UPGRADE,1.0,1.0,17483.67,14436215095.92,120150.8,0.07,0.14,106,0,0.394
tensorflow,Module,UPGRADE,0.96,0.96,37.07,13398.17,115.75,0.09,0.19,106,0,0.394
cli,Line,UPGRADE,1.0,1.0,1295.51,49612020.96,7043.58,0.06,0.14,109,0,0.528
cli,Module,UPGRADE,1.0,1.0,24.99,14208.79,119.2,0.06,0.13,109,0,0.528
orleans,Line,RELEASE,0.99,0.99,54.67,42664.63,206.55,0.08,0.13,114,0,0.592
orleans,Module,RELEASE,0.97,0.97,1.18,17.1,4.13,0.29,0.35,114,0,0.592
home-assistant,Line,SUPPORT,0.88,0.88,1853.62,43535586.28,6598.15,0.02,0.06,560,0,0.591
home-assistant,Module,SUPPORT,0.88,0.88,38.72,27971.01,167.25,0.04,0.09,560,0,0.591
gitlabhq,Line,SUPPORT,0.51,0.51,1049.67,9641859.5,3105.13,0.05,0.09,1154,0,0.516
gitlabhq,Module,SUPPORT,0.87,0.87,23.87,2633.13,51.31,0.08,0.13,1154,0,0.516
moby,Line,RELEASE,0.93,0.93,67.63,48606.49,220.47,0.03,0.06,319,0,0.618
moby,Module,RELEASE,0.79,0.79,5.92,87.32,9.34,0.17,0.18,319,0,0.618
angular,Line,SUPPORT,0.96,0.96,313.98,570306.92,755.19,0.04,0.07,411,0,0.576
angular,Module,SUPPORT,0.91,0.91,5.64,108.49,10.42,0.17,0.21,411,0,0.576
roslyn,Line,SUPPORT,1.0,1.0,151767.8,570249009006.94,755148.34,0.06,0.11,102,0,0.462
roslyn,Module,SUPPORT,1.0,1.0,716.95,6576165.61,2564.4,0.11,0.15,102,0,0.462
neutron,Line,RELEASE,1.0,1.0,930.39,16851228.98,4105.02,0.07,0.16,203,0,0.5
neutron,Module,RELEASE,0.97,0.97,8.15,238.03,15.43,0.17,0.33,203,0,0.5
tensorflow,Line,RELEASE,0.69,0.68,16943.52,1036269631.52,32191.14,0.02,0.08,106,0,0.366
