Project,Model,Task,R_Squared,R_Squared_Adj,MAE,MSE,RMSE,PRED_25,PRED_50,T_Records,D_Records,P_NA
devise,Module,RELEASE,1.0,1.0,1.77,7.33,2.71,0.36,0.57,134,0,0.477
webtorrent,Line,UPGRADE,1.0,1.0,0.23,6.33,2.52,0.99,0.99,306,0,0.679
webtorrent,Module,UPGRADE,1.0,1.0,0.01,0.01,0.09,0.99,0.99,306,0,0.679
browser-sync,Line,BUG,1.0,1.0,808.58,9303456.55,3050.16,0.12,0.15,219,0,0.52
browser-sync,Module,BUG,1.0,1.0,3.14,65.87,8.12,0.15,0.3,219,0,0.52
medium-editor,Line,FEATURE,1.0,1.0,6.81,1333.5,36.52,0.92,0.93,150,0,0.661
medium-editor,Module,FEATURE,1.0,1.0,0.4,3.8,1.95,0.91,0.91,150,0,0.661
selenium,Line,TESTING,1.0,1.0,14694.83,3918651020.6,62599.13,0.11,0.23,123,0,0.261
selenium,Module,TESTING,1.0,1.0,127.59,188752.46,434.46,0.19,0.43,123,0,0.261
superagent,Line,UPGRADE,1.0,1.0,2.86,308.08,17.55,0.96,0.97,135,0,0.669
superagent,Module,UPGRADE,1.0,1.0,0.33,4.17,2.04,0.96,0.97,135,0,0.669
jest,Line,RELEASE,1.0,1.0,462.64,8061851.27,2839.34,0.69,0.71,180,0,0.609
jest,Module,RELEASE,1.0,1.0,6.73,338.36,18.39,0.73,0.78,180,0,0.609
keystone,Line,FEATURE,1.0,1.0,11.47,59994.69,244.94,0.99,0.99,1504,0,0.678
keystone,Module,FEATURE,1.0,1.0,0.22,16.95,4.12,0.99,0.99,1504,0,0.678
pandoc,Line,FEATURE,1.0,1.0,2.82,184.33,13.58,0.95,0.95,136,0,0.662
pandoc,Module,FEATURE,1.0,1.0,0.15,0.68,0.83,0.95,0.95,136,0,0.662
mongoose,Line,FEATURE,1.0,1.0,36.7,44952.32,212.02,0.86,0.88,582,0,0.632
mongoose,Module,FEATURE,1.0,1.0,1.45,70.77,8.41,0.86,0.89,582,0,0.632
webtorrent,Line,RELEASE,1.0,1.0,0.0,0.0,0.0,1.0,1.0,306,0,0.682
webtorrent,Module,RELEASE,1.0,1.0,0.0,0.0,0.0,1.0,1.0,306,0,0.682
swagger-ui,Line,FEATURE,1.0,1.0,2751.82,111243548.58,10547.21,0.79,0.81,189,0,0.624
swagger-ui,Module,FEATURE,1.0,1.0,38.44,24787.64,157.44,0.79,0.83,189,0,0.624
devise,Line,SUPPORT,1.0,1.0,40.4,12022.36,109.65,0.73,0.78,134,0,0.577
devise,Module,SUPPORT,1.0,1.0,2.4,33.66,5.8,0.75,0.82,134,0,0.577
browser-sync,Line,DOCS,1.0,1.0,3.8,222.6,14.92,0.88,0.89,219,0,0.653
browser-sync,Module,DOCS,1.0,1.0,0.44,4.07,2.02,0.9,0.93,219,0,0.653
