,Project,Model,Task,MAE,MSE,RMSE,PRED_25,PRED_50,T_Records
0,kubernetes,Line,TESTING,2856.15,23619137.66,4859.95,0.16,0.29,3468
0,kubernetes,Line,UPGRADE,301.09,177552.3,421.37,0.05,0.22,2669
0,kubernetes,Module,BUG,27.61,1428.66,37.8,0.16,0.33,2907
0,kubernetes,Module,DOCS,322.77,167135.51,408.82,0.11,0.2,3026
0,kubernetes,Module,FEATURE,29.51,1238.18,35.19,0.1,0.42,2091
0,kubernetes,Module,REFACTOR,40.39,2765.82,52.59,0.09,0.21,2193
0,kubernetes,Module,TESTING,48.17,8205.26,90.58,0.43,0.57,3468
0,kubernetes,Module,UPGRADE,29.19,1309.66,36.19,0.1,0.38,2669
0,linux,Line,BUG,241.45,125743.4,354.6,0.35,0.63,7854
0,linux,Line,DOCS,102.77,38500.79,196.22,0.56,0.63,2788
0,linux,Line,FEATURE,40.67,2928.17,54.11,0.4,0.53,2006
0,linux,Line,OTHER,601.28,838931.6,915.93,0.32,0.52,6494
0,linux,Line,REFACTOR,90.65,26852.57,163.87,0.62,0.81,1088
0,linux,Line,RELEASE,13.25,391.08,19.78,0.37,0.6,2346
0,linux,Line,SUPPORT,211.51,72980.06,270.15,0.41,0.49,5015
0,linux,Line,TESTING,62.29,7104.21,84.29,0.49,0.64,3196
0,linux,Line,UPGRADE,30.79,2433.31,49.33,0.4,0.5,680
0,linux,Module,BUG,11.54,373.52,19.33,0.75,0.91,7854
0,linux,Module,DOCS,1.22,4.53,2.13,0.66,0.93,2788
0,linux,Module,FEATURE,1.85,7.71,2.78,0.53,0.6,2006
0,linux,Module,OTHER,16.82,518.27,22.77,0.69,0.93,6494
0,linux,Module,REFACTOR,1.99,6.22,2.49,0.25,0.81,1088
0,linux,Module,RELEASE,3.6,24.86,4.99,0.23,0.51,2346
0,linux,Module,SUPPORT,2.59,10.83,3.29,0.51,0.68,5015
0,linux,Module,TESTING,1.99,9.62,3.1,0.45,0.83,3196
0,linux,Module,UPGRADE,0.59,1.21,1.1,0.7,0.9,680
0,lock,Line,BUG,214.45,127847.91,357.56,0.7,0.74,1547
0,lock,Module,BUG,18.32,1171.99,34.23,0.7,0.78,1547
0,mesos,Line,BUG,889.55,1558485.26,1248.39,0.43,0.87,1530
0,mesos,Line,DOCS,531.63,807256.11,898.47,0.12,0.56,1037
0,mesos,Line,FEATURE,30.97,1901.17,43.6,0.38,0.5,493
0,mesos,Line,OTHER,7383.29,146596717.84,12107.71,0.33,0.67,1598
0,mesos,Line,REFACTOR,977.42,2680711.73,1637.29,0.71,0.88,1122
0,mesos,Line,RELEASE,453.44,460175.05,678.36,0.44,0.5,1088
0,mesos,Line,SUPPORT,563.04,905424.49,951.54,0.62,0.75,1071
0,mesos,Line,TESTING,1533.51,5754443.82,2398.84,0.75,0.9,1343
0,mesos,Line,UPGRADE,252.42,98298.57,313.53,0.17,0.5,782
0,mesos,Module,BUG,16.22,586.83,24.22,0.7,0.91,1530
0,mesos,Module,DOCS,10.8,317.31,17.81,0.38,0.38,1037
0,mesos,Module,FEATURE,0.25,0.12,0.35,1.0,1.0,493
0,mesos,Module,OTHER,201.77,122729.67,350.33,0.5,0.62,1598
0,mesos,Module,REFACTOR,11.92,334.3,18.28,0.65,0.88,1122
0,mesos,Module,RELEASE,2.61,12.55,3.54,0.69,0.75,1088
0,mesos,Module,SUPPORT,17.47,911.05,30.18,0.56,0.94,1071
0,mesos,Module,TESTING,26.35,1288.28,35.89,0.8,0.95,1343
0,mesos,Module,UPGRADE,11.88,315.64,17.77,0.33,0.42,782
0,neutron,Line,BUG,1764.88,4567732.36,2137.23,0.19,0.73,1768
0,neutron,Line,DOCS,1056.06,2565644.07,1601.76,0.12,0.19,1088
0,neutron,Line,FEATURE,598.97,458586.25,677.19,0.1,0.4,680
0,neutron,Line,OTHER,14004.63,520835589.03,22821.82,0.33,0.63,1802
0,neutron,Line,REFACTOR,1781.57,5908784.53,2430.8,0.32,0.74,1275
0,neutron,Line,RELEASE,406.49,288499.65,537.12,0.04,0.17,1564
0,neutron,Line,SUPPORT,2347.74,18659930.94,4319.71,0.12,0.38,1632
0,neutron,Line,TESTING,1075.65,1910592.18,1382.24,0.3,0.48,1836
0,neutron,Line,UPGRADE,129.98,27093.67,164.6,0.38,0.62,1394
0,neutron,Module,BUG,51.52,5483.15,74.05,0.62,0.88,1768
0,neutron,Module,DOCS,14.36,279.7,16.72,0.25,0.44,1088
0,neutron,Module,FEATURE,12.77,258.94,16.09,0.3,0.6,680
0,neutron,Module,OTHER,332.84,305325.69,552.56,0.48,0.78,1802
0,neutron,Module,REFACTOR,51.8,3816.9,61.78,0.21,0.79,1275
0,neutron,Module,RELEASE,11.69,268.73,16.39,0.3,0.7,1564
0,neutron,Module,SUPPORT,38.62,4872.86,69.81,0.46,0.75,1632
0,neutron,Module,TESTING,36.25,2413.89,49.13,0.37,0.59,1836
0,neutron,Module,UPGRADE,6.44,77.66,8.81,0.52,0.67,1394
0,nixpkgs,Line,BUG,834.18,1264283.24,1124.4,0.33,0.5,374
0,nixpkgs,Line,DOCS,210.41,58235.34,241.32,0.2,0.6,340
0,nixpkgs,Line,REFACTOR,513.25,295434.22,543.54,0.0,0.5,238
0,nixpkgs,Line,TESTING,541.92,748997.24,865.45,0.17,0.67,391
0,nixpkgs,Module,BUG,5.77,44.36,6.66,1.0,1.0,374
0,nixpkgs,Module,DOCS,12.05,251.34,15.85,0.2,0.6,340
0,nixpkgs,Module,REFACTOR,18.79,489.86,22.13,0.25,0.75,238
0,nixpkgs,Module,TESTING,17.81,533.82,23.1,0.5,0.83,391
0,node,Line,BUG,8434.98,207132108.25,14392.08,0.44,0.73,3978
0,node,Line,DOCS,1407.99,3956362.7,1989.06,0.65,0.77,3247
0,node,Module,BUG,156.25,65982.47,256.87,0.75,0.88,3978
0,node,Module,DOCS,6.81,88.28,9.4,0.88,0.98,3247
0,nova,Line,BUG,1684.32,5876326.97,2424.11,0.59,0.78,2516
0,nova,Line,DOCS,1976.91,14301928.42,3781.79,0.0,0.2,1649
0,nova,Line,FEATURE,351.15,186534.05,431.9,0.28,0.5,1207
0,nova,Line,OTHER,35928.44,4416227535.3,66454.7,0.06,0.15,2261
0,nova,Line,REFACTOR,1590.69,7267267.66,2695.79,0.4,0.77,2040
0,nova,Line,RELEASE,102.29,18294.93,135.26,0.33,0.63,1802
0,nova,Line,SUPPORT,2451.25,22083037.87,4699.26,0.29,0.48,2091
0,nova,Line,TESTING,1081.53,1738030.82,1318.34,0.28,0.41,1938
