,Project,Model,Task,MAE,MSE,RMSE,PRED_25,PRED_50,T_Records
0,gitlabhq,Line,BUG,347.67,337802.82,581.21,0.6,0.8,11475
0,gitlabhq,Line,DOCS,283.58,180097.16,424.38,0.42,0.63,6987
0,gitlabhq,Line,FEATURE,250.59,134412.83,366.62,0.41,0.56,6188
0,gitlabhq,Line,OTHER,3281.17,47598900.25,6899.2,0.6,0.73,12342
0,gitlabhq,Line,REFACTOR,395.5,412156.39,641.99,0.51,0.65,5066
0,gitlabhq,Line,RELEASE,20.44,1211.59,34.81,0.61,0.7,3842
0,gitlabhq,Line,SUPPORT,350.04,263257.63,513.09,0.4,0.6,4845
0,gitlabhq,Line,TESTING,355.8,284472.21,533.36,0.45,0.73,6460
0,gitlabhq,Line,UPGRADE,133.72,49872.79,223.32,0.44,0.57,5236
0,gitlabhq,Module,BUG,126.5,56287.92,237.25,0.64,0.79,11475
0,gitlabhq,Module,DOCS,71.54,14557.6,120.65,0.58,0.68,6987
0,gitlabhq,Module,FEATURE,88.26,29814.71,172.67,0.51,0.65,6188
0,gitlabhq,Module,OTHER,805.17,5022360.11,2241.06,0.6,0.77,12342
0,gitlabhq,Module,REFACTOR,139.56,57681.7,240.17,0.52,0.68,5066
0,gitlabhq,Module,RELEASE,8.2,276.58,16.63,0.67,0.72,3842
0,gitlabhq,Module,SUPPORT,149.98,47646.11,218.28,0.39,0.56,4845
0,gitlabhq,Module,TESTING,157.07,75823.91,275.36,0.54,0.66,6460
0,gitlabhq,Module,UPGRADE,62.06,13751.64,117.27,0.47,0.55,5236
0,kubernetes,Line,BUG,364.62,416086.09,645.05,0.4,0.67,2907
0,kubernetes,Line,DOCS,11561.08,322516139.28,17958.73,0.22,0.36,3026
0,kubernetes,Line,FEATURE,227.13,126316.7,355.41,0.39,0.52,2091
0,kubernetes,Line,REFACTOR,901.78,1759233.26,1326.36,0.33,0.55,2193
0,kubernetes,Line,TESTING,2664.59,24070703.16,4906.19,0.31,0.63,3468
0,kubernetes,Line,UPGRADE,188.21,123208.61,351.01,0.28,0.35,2669
0,kubernetes,Module,BUG,189.51,109600.34,331.06,0.33,0.56,2907
0,kubernetes,Module,DOCS,1701.44,16012765.24,4001.6,0.4,0.58,3026
0,kubernetes,Module,FEATURE,115.57,37071.34,192.54,0.39,0.58,2091
0,kubernetes,Module,REFACTOR,299.6,311663.33,558.27,0.58,0.7,2193
0,kubernetes,Module,TESTING,1109.06,4557939.29,2134.93,0.31,0.61,3468
0,kubernetes,Module,UPGRADE,101.74,47325.05,217.54,0.65,0.72,2669
0,linux,Line,BUG,244.91,130398.06,361.11,0.35,0.6,7854
0,linux,Line,DOCS,101.17,33374.82,182.69,0.46,0.68,2788
0,linux,Line,FEATURE,38.98,3657.75,60.48,0.4,0.53,2006
0,linux,Line,OTHER,636.3,1006218.33,1003.1,0.33,0.59,6494
0,linux,Line,REFACTOR,124.38,36678.92,191.52,0.5,0.75,1088
0,linux,Line,RELEASE,9.2,173.37,13.17,0.46,0.6,2346
0,linux,Line,SUPPORT,153.59,68540.82,261.8,0.38,0.54,5015
0,linux,Line,TESTING,45.61,3567.76,59.73,0.47,0.64,3196
0,linux,Line,UPGRADE,26.84,2379.57,48.78,0.5,0.7,680
0,linux,Module,BUG,90.56,16749.02,129.42,0.35,0.66,7854
0,linux,Module,DOCS,15.95,1353.03,36.78,0.66,0.78,2788
0,linux,Module,FEATURE,14.21,613.82,24.78,0.57,0.63,2006
0,linux,Module,OTHER,191.12,97856.19,312.82,0.36,0.65,6494
0,linux,Module,REFACTOR,48.91,7328.12,85.6,0.69,0.75,1088
0,linux,Module,RELEASE,3.63,22.95,4.79,0.66,0.83,2346
0,linux,Module,SUPPORT,41.28,8648.11,93.0,0.53,0.61,5015
0,linux,Module,TESTING,13.18,492.74,22.2,0.53,0.6,3196
0,linux,Module,UPGRADE,1.15,3.63,1.9,0.9,0.9,680
0,lock,Line,BUG,131.97,47701.81,218.41,0.74,0.74,1547
0,lock,Module,BUG,90.34,36741.56,191.68,0.74,0.74,1547
0,mesos,Line,BUG,634.84,871969.18,933.79,0.65,0.78,1530
0,mesos,Line,DOCS,385.8,402025.82,634.06,0.5,0.5,1037
0,mesos,Line,FEATURE,29.42,2079.19,45.6,0.5,0.75,493
0,mesos,Line,OTHER,7011.07,152611264.7,12353.59,0.42,0.75,1598
0,mesos,Line,REFACTOR,715.96,1431365.36,1196.4,0.65,0.82,1122
0,mesos,Line,RELEASE,395.31,378059.01,614.87,0.38,0.5,1088
0,mesos,Line,SUPPORT,577.41,913263.27,955.65,0.69,0.88,1071
0,mesos,Line,TESTING,1191.15,4663687.12,2159.56,0.75,0.9,1343
0,mesos,Line,UPGRADE,199.82,72005.43,268.34,0.33,0.75,782
0,mesos,Module,BUG,253.84,145992.89,382.09,0.61,0.83,1530
0,mesos,Module,DOCS,285.13,224244.62,473.54,0.31,0.44,1037
0,mesos,Module,FEATURE,2.58,30.72,5.54,0.88,0.88,493
0,mesos,Module,OTHER,4117.85,61611934.16,7849.33,0.46,0.62,1598
0,mesos,Module,REFACTOR,215.71,253961.3,503.95,0.88,0.94,1122
0,mesos,Module,RELEASE,194.38,131127.3,362.12,0.44,0.69,1088
0,mesos,Module,SUPPORT,210.66,103079.68,321.06,0.75,0.75,1071
0,mesos,Module,TESTING,537.46,797975.71,893.29,0.75,0.95,1343
0,mesos,Module,UPGRADE,111.65,25005.01,158.13,0.33,0.42,782
0,neutron,Line,BUG,1428.2,3582590.6,1892.77,0.54,0.81,1768
0,neutron,Line,DOCS,1062.3,1569707.75,1252.88,0.12,0.38,1088
0,neutron,Line,FEATURE,609.22,478534.86,691.76,0.3,0.5,680
0,neutron,Line,OTHER,14160.57,528652722.36,22992.45,0.48,0.67,1802
0,neutron,Line,REFACTOR,1788.34,5534087.45,2352.46,0.26,0.68,1275
0,neutron,Line,RELEASE,265.62,155339.6,394.13,0.39,0.48,1564
0,neutron,Line,SUPPORT,1854.58,15655504.96,3956.7,0.54,0.71,1632
0,neutron,Line,TESTING,1030.33,2233217.17,1494.4,0.44,0.56,1836
0,neutron,Line,UPGRADE,130.17,32567.87,180.47,0.38,0.67,1394
0,neutron,Module,BUG,1022.79,1850446.99,1360.31,0.42,0.81,1768
0,neutron,Module,DOCS,700.82,711989.38,843.79,0.19,0.31,1088
0,neutron,Module,FEATURE,385.59,219261.04,468.25,0.4,0.4,680
0,neutron,Module,OTHER,9464.39,227623510.41,15087.2,0.41,0.63,1802
0,neutron,Module,REFACTOR,1510.7,3543074.93,1882.31,0.26,0.32,1275
0,neutron,Module,RELEASE,189.95,77298.52,278.03,0.22,0.43,1564
0,neutron,Module,SUPPORT,1206.51,6247831.09,2499.57,0.54,0.67,1632
0,neutron,Module,TESTING,757.77,1252271.58,1119.05,0.41,0.59,1836
0,neutron,Module,UPGRADE,97.22,19334.59,139.05,0.38,0.52,1394
0,nixpkgs,Line,BUG,352.47,264098.71,513.91,0.67,0.83,374
0,nixpkgs,Line,DOCS,608.57,608381.54,779.99,0.4,0.4,340
0,nixpkgs,Line,REFACTOR,208.65,64753.55,254.47,0.75,1.0,238
0,nixpkgs,Line,TESTING,553.4,909369.72,953.61,0.33,0.67,391
0,nixpkgs,Module,BUG,115.52,17314.98,131.59,0.17,0.67,374
0,nixpkgs,Module,DOCS,155.23,43421.93,208.38,0.4,0.4,340
0,nixpkgs,Module,REFACTOR,71.62,14995.31,122.46,0.75,1.0,238
0,nixpkgs,Module,TESTING,52.53,5155.57,71.8,0.5,0.5,391
0,node,Line,BUG,5283.26,162792101.89,12759.0,0.66,0.83,3978
0,node,Line,DOCS,674.79,1741290.19,1319.58,0.79,0.85,3247
0,node,Module,BUG,258.26,778899.09,882.55,0.86,0.93,3978
0,node,Module,DOCS,221.83,413898.76,643.35,0.77,0.83,3247
0,nova,Line,BUG,1677.29,5353625.09,2313.79,0.54,0.84,2516
0,nova,Line,DOCS,1854.9,9850929.58,3138.62,0.24,0.32,1649
0,nova,Line,FEATURE,171.85,74330.77,272.64,0.61,0.83,1207
0,nova,Line,OTHER,43176.18,5507907465.96,74215.28,0.21,0.24,2261
0,nova,Line,REFACTOR,1503.0,7465477.0,2732.3,0.6,0.87,2040
0,nova,Line,RELEASE,68.57,8958.21,94.65,0.56,0.78,1802
0,nova,Line,SUPPORT,2086.78,15188766.27,3897.28,0.52,0.74,2091
0,nova,Line,TESTING,680.56,867659.28,931.48,0.45,0.62,1938
0,nova,Line,UPGRADE,153.32,50813.83,225.42,0.33,0.6,986
0,nova,Module,BUG,1486.28,4161677.82,2040.02,0.51,0.7,2516
0,nova,Module,DOCS,1276.88,5025214.86,2241.7,0.24,0.32,1649
0,nova,Module,FEATURE,142.66,50223.95,224.11,0.61,0.72,1207
0,nova,Module,OTHER,23463.73,1747600836.79,41804.32,0.29,0.38,2261
0,nova,Module,REFACTOR,1115.34,4082093.24,2020.42,0.47,0.83,2040
0,nova,Module,RELEASE,48.41,4778.74,69.13,0.56,0.78,1802
0,nova,Module,SUPPORT,1432.65,6412294.16,2532.25,0.52,0.71,2091
0,nova,Module,TESTING,568.42,682177.18,825.94,0.45,0.66,1938
0,nova,Module,UPGRADE,78.08,13526.35,116.3,0.4,0.53,986
0,react,Line,BUG,2109.27,34013942.6,5832.15,0.75,0.8,1326
0,react,Module,BUG,2040.61,34729398.7,5893.17,0.65,0.7,1326
0,roslyn,Line,BUG,7533.34,183441721.21,13544.07,0.18,0.27,714
0,roslyn,Module,BUG,5880.56,147718132.63,12153.93,0.55,0.55,714
0,tensorflow,Line,BUG,2448.98,26133286.28,5112.07,0.47,0.53,1156
0,tensorflow,Line,DOCS,4233.12,33173823.79,5759.67,0.4,0.6,629
0,tensorflow,Line,FEATURE,3614.7,21643102.34,4652.21,0.0,0.12,493
0,tensorflow,Line,OTHER,11816.4,653837281.33,25570.24,0.22,0.33,1207
0,tensorflow,Line,REFACTOR,4052.11,33425523.43,5781.48,0.5,0.75,544
0,tensorflow,Line,RELEASE,1087.89,2952088.83,1718.16,0.31,0.38,833
0,tensorflow,Line,SUPPORT,3272.59,25355126.37,5035.39,0.6,0.8,663
0,tensorflow,Line,TESTING,7060.65,128305567.66,11327.2,0.23,0.62,867
0,tensorflow,Line,UPGRADE,341.93,249809.89,499.81,0.42,0.58,765
0,tensorflow,Module,BUG,1382.21,7470764.76,2733.27,0.35,0.35,1156
0,tensorflow,Module,DOCS,2262.08,15664736.98,3957.87,0.5,0.7,629
0,tensorflow,Module,FEATURE,1643.55,3610527.87,1900.14,0.0,0.12,493
0,tensorflow,Module,OTHER,8722.57,342580351.69,18508.93,0.33,0.44,1207
0,tensorflow,Module,REFACTOR,1957.55,9058137.13,3009.67,0.62,0.75,544
0,tensorflow,Module,RELEASE,752.27,1644915.36,1282.54,0.38,0.46,833
0,tensorflow,Module,SUPPORT,2254.42,12089942.92,3477.06,0.6,0.7,663
0,tensorflow,Module,TESTING,3102.56,27445088.16,5238.81,0.46,0.69,867
0,tensorflow,Module,UPGRADE,153.07,50496.0,224.71,0.5,0.5,765
