Project,Model,Task,R_Squared,R_Squared_Adj,MAE,MSE,RMSE,PRED_25,PRED_50,T_Records,D_Records,P_NA
tensorflow,Line,SUPPORT,0.89,0.89,5067.4,260143040.88,16128.95,0.52,0.63,106,0,0.418
tensorflow,Module,SUPPORT,0.89,0.89,116.23,169284.42,411.44,0.54,0.66,106,0,0.418
roslyn,Line,SUPPORT,0.44,0.42,110552.87,310974741403.79,557651.09,0.61,0.72,102,0,0.462
roslyn,Module,SUPPORT,0.7,0.69,596.94,4125234.15,2031.07,0.6,0.72,102,0,0.462
gitlabhq,Line,RELEASE,0.73,0.73,70.38,105842.89,325.34,0.7,0.75,1154,0,0.575
gitlabhq,Module,RELEASE,0.75,0.75,3.26,171.87,13.11,0.74,0.79,1154,0,0.575
cli,Line,SUPPORT,0.27,0.25,891.68,4730039.42,2174.87,0.44,0.51,109,0,0.524
cli,Module,SUPPORT,0.64,0.63,9.72,462.32,21.5,0.53,0.62,109,0,0.524
neutron,Line,SUPPORT,0.74,0.74,2626.79,42685770.85,6533.43,0.38,0.51,203,0,0.437
neutron,Module,SUPPORT,0.91,0.91,34.04,6193.38,78.7,0.46,0.69,203,0,0.437
vue,Line,SUPPORT,0.96,0.96,86.28,70236.58,265.02,0.74,0.81,248,0,0.593
vue,Module,SUPPORT,0.97,0.97,4.43,176.78,13.3,0.79,0.84,248,0,0.593
ansible,Line,SUPPORT,0.98,0.98,9916.99,1151244210.89,33929.99,0.64,0.79,303,0,0.381
ansible,Module,SUPPORT,0.99,0.99,150.07,199709.31,446.89,0.71,0.84,303,0,0.381
moby,Line,SUPPORT,0.7,0.7,852.68,14959100.59,3867.7,0.6,0.67,319,0,0.558
moby,Module,SUPPORT,0.86,0.86,13.73,2508.33,50.08,0.66,0.75,319,0,0.558
angular,Line,SUPPORT,0.92,0.92,243.09,505611.47,711.06,0.66,0.7,411,0,0.576
angular,Module,SUPPORT,0.89,0.89,4.56,124.6,11.16,0.7,0.77,411,0,0.576
node,Line,SUPPORT,0.89,0.89,3276.23,89170379.75,9443.01,0.48,0.62,596,0,0.403
node,Module,SUPPORT,0.99,0.99,19.98,1673.53,40.91,0.55,0.69,596,0,0.403
home-assistant,Line,SUPPORT,0.6,0.6,1486.07,41154631.22,6415.19,0.78,0.81,560,0,0.591
