Project,Model,Task,R_Squared,R_Squared_Adj,MAE,MSE,RMSE,PRED_25,PRED_50,T_Records,D_Records,P_NA
roslyn,Module,FEATURE,1.0,1.0,552.09,3037226.61,1742.76,0.66,0.71,102,0,0.492
orleans,Line,FEATURE,1.0,1.0,145.23,190774.0,436.78,0.93,0.95,114,0,0.644
orleans,Module,FEATURE,1.0,1.0,11.05,1179.68,34.35,0.93,0.96,114,0,0.644
cli,Line,FEATURE,1.0,1.0,114.19,307156.49,554.22,0.81,0.83,109,0,0.628
cli,Module,FEATURE,1.0,1.0,6.12,568.3,23.84,0.8,0.82,109,0,0.628
tensorflow,Line,FEATURE,1.0,1.0,1646.96,15372949.88,3920.84,0.62,0.68,106,0,0.498
tensorflow,Module,FEATURE,1.0,1.0,17.7,1820.17,42.66,0.68,0.75,106,0,0.498
gitlabhq,Line,REFACTOR,1.0,1.0,752.46,7642507.53,2764.51,0.73,0.79,1154,0,0.511
gitlabhq,Module,REFACTOR,1.0,1.0,16.43,5795.9,76.13,0.77,0.85,1154,0,0.511
vue,Line,FEATURE,1.0,1.0,19.17,13965.68,118.18,0.93,0.95,248,0,0.643
vue,Module,FEATURE,1.0,1.0,1.18,52.13,7.22,0.92,0.94,248,0,0.643
neutron,Line,FEATURE,1.0,1.0,223.65,322592.36,567.97,0.81,0.85,203,0,0.603
neutron,Module,FEATURE,1.0,1.0,4.09,106.63,10.33,0.79,0.84,203,0,0.603
angular,Line,TESTING,1.0,1.0,10700.03,538943093.48,23215.15,0.22,0.31,411,0,0.365
angular,Module,TESTING,1.0,1.0,108.77,186705.05,432.09,0.31,0.55,411,0,0.365
moby,Line,FEATURE,1.0,1.0,48.72,34864.2,186.72,0.89,0.91,319,0,0.629
moby,Module,FEATURE,1.0,1.0,1.44,22.79,4.77,0.87,0.9,319,0,0.629
ansible,Line,FEATURE,1.0,1.0,2834.29,183890232.91,13560.61,0.85,0.87,303,0,0.488
ansible,Module,FEATURE,1.0,1.0,26.19,17584.62,132.61,0.89,0.91,303,0,0.488
node,Line,TESTING,1.0,1.0,9154.89,350663670.83,18726.02,0.4,0.51,596,0,0.331
node,Module,TESTING,1.0,1.0,479.41,999912.88,999.96,0.42,0.59,596,0,0.331
home-assistant,Line,FEATURE,1.0,1.0,230.42,9465648.49,3076.63,0.91,0.92,560,0,0.654
home-assistant,Module,FEATURE,1.0,1.0,4.59,1942.48,44.07,0.92,0.94,560,0,0.654
orleans,Line,UPGRADE,1.0,1.0,27.05,6289.87,79.31,0.9,0.93,114,0,0.585
orleans,Module,UPGRADE,1.0,1.0,8.19,916.3,30.27,0.83,0.88,114,0,0.585
roslyn,Line,UPGRADE,1.0,1.0,3205.4,130863834.08,11439.57,0.62,0.68,102,0,0.533
roslyn,Module,UPGRADE,1.0,1.0,78.87,40204.29,200.51,0.64,0.69,102,0,0.533
cli,Line,UPGRADE,1.0,1.0,1400.88,53879123.76,7340.24,0.53,0.61,109,0,0.528
cli,Module,UPGRADE,1.0,1.0,23.77,13249.65,115.11,0.5,0.62,109,0,0.528
tensorflow,Line,UPGRADE,1.0,1.0,13844.98,9411595656.72,97013.38,0.43,0.52,106,0,0.394
tensorflow,Module,UPGRADE,1.0,1.0,25.93,9601.98,97.99,0.53,0.7,106,0,0.394
vue,Line,UPGRADE,1.0,1.0,65.65,381101.48,617.33,0.94,0.94,248,0,0.659
vue,Module,UPGRADE,1.0,1.0,0.4,6.4,2.53,0.94,0.94,248,0,0.659
neutron,Line,UPGRADE,1.0,1.0,738.82,3970233.49,1992.54,0.58,0.67,203,0,0.523
neutron,Module,UPGRADE,1.0,1.0,9.1,522.34,22.85,0.63,0.74,203,0,0.523
moby,Line,UPGRADE,1.0,1.0,126.39,90600.93,301.0,0.63,0.67,319,0,0.58
moby,Module,UPGRADE,1.0,1.0,3.35,80.86,8.99,0.69,0.76,319,0,0.58
angular,Line,FEATURE,1.0,1.0,9632.97,1328679228.11,36451.05,0.4,0.53,411,0,0.392
angular,Module,FEATURE,1.0,1.0,153.0,201881.91,449.31,0.44,0.62,411,0,0.392
ansible,Line,UPGRADE,1.0,1.0,858.03,7277259.06,2697.64,0.7,0.77,303,0,0.418
ansible,Module,UPGRADE,1.0,1.0,11.16,1589.53,39.87,0.77,0.84,303,0,0.418
node,Line,FEATURE,1.0,1.0,63.47,34302.72,185.21,0.81,0.85,596,0,0.573
node,Module,FEATURE,1.0,1.0,2.38,40.19,6.34,0.79,0.85,596,0,0.573
gitlabhq,Line,TESTING,1.0,1.0,23195.18,15334502316.3,123832.56,0.56,0.62,1154,0,0.451
gitlabhq,Module,TESTING,1.0,1.0,512.56,8257441.47,2873.58,0.59,0.67,1154,0,0.451
home-assistant,Line,UPGRADE,1.0,1.0,433.38,6734791.64,2595.15,0.78,0.83,560,0,0.578
home-assistant,Module,UPGRADE,1.0,1.0,30.27,14770.63,121.53,0.84,0.9,560,0,0.578
orleans,Line,RELEASE,1.0,1.0,36.75,23998.09,154.91,0.75,0.8,114,0,0.592
orleans,Module,RELEASE,1.0,1.0,0.98,17.96,4.24,0.82,0.85,114,0,0.592
roslyn,Line,RELEASE,1.0,1.0,321.79,1356266.07,1164.59,0.74,0.78,102,0,0.553
roslyn,Module,RELEASE,1.0,1.0,16.22,2096.72,45.79,0.72,0.77,102,0,0.553
cli,Line,RELEASE,1.0,1.0,43.63,12641.19,112.43,0.64,0.69,109,0,0.582
cli,Module,RELEASE,1.0,1.0,1.29,12.86,3.59,0.7,0.81,109,0,0.582
tensorflow,Line,RELEASE,1.0,1.0,14374.92,770200646.76,27752.49,0.3,0.36,106,0,0.366
tensorflow,Module,RELEASE,1.0,1.0,42.95,10567.41,102.8,0.42,0.55,106,0,0.366
vue,Line,RELEASE,1.0,1.0,1992.27,27456769.95,5239.92,0.25,0.31,248,0,0.487
vue,Module,RELEASE,1.0,1.0,2.51,59.4,7.71,0.39,0.59,248,0,0.487
neutron,Line,RELEASE,1.0,1.0,1010.85,12873512.62,3587.97,0.54,0.6,203,0,0.5
neutron,Module,RELEASE,1.0,1.0,5.67,219.94,14.83,0.7,0.82,203,0,0.5
moby,Line,RELEASE,1.0,1.0,69.85,51166.58,226.2,0.78,0.79,319,0,0.618
moby,Module,RELEASE,1.0,1.0,2.85,61.97,7.87,0.77,0.8,319,0,0.618
angular,Line,UPGRADE,1.0,1.0,1460.19,13664341.63,3696.53,0.54,0.6,411,0,0.511
angular,Module,UPGRADE,1.0,1.0,32.1,39668.9,199.17,0.59,0.68,411,0,0.511
home-assistant,Line,RELEASE,1.0,1.0,30.25,49485.1,222.45,0.94,0.96,560,0,0.632
home-assistant,Module,RELEASE,1.0,1.0,2.74,278.26,16.68,0.95,0.96,560,0,0.632
ansible,Line,RELEASE,1.0,1.0,409.01,727301.96,852.82,0.29,0.46,303,0,0.357
ansible,Module,RELEASE,1.0,1.0,10.56,363.64,19.07,0.52,0.76,303,0,0.357
roslyn,Line,SUPPORT,1.0,1.0,149714.19,551135465937.32,742384.98,0.64,0.69,102,0,0.462
roslyn,Module,SUPPORT,1.0,1.0,608.43,5463848.9,2337.49,0.67,0.75,102,0,0.462
orleans,Line,SUPPORT,1.0,1.0,341.2,568833.92,754.21,0.61,0.68,114,0,0.498
orleans,Module,SUPPORT,1.0,1.0,11.09,747.26,27.34,0.64,0.72,114,0,0.498
cli,Line,SUPPORT,1.0,1.0,977.24,5900985.74,2429.19,0.54,0.62,109,0,0.524
cli,Module,SUPPORT,1.0,1.0,11.21,560.78,23.68,0.57,0.73,109,0,0.524
tensorflow,Line,SUPPORT,1.0,1.0,3876.4,162551948.07,12749.59,0.67,0.81,106,0,0.418
tensorflow,Module,SUPPORT,1.0,1.0,84.95,106993.25,327.1,0.68,0.79,106,0,0.418
node,Line,UPGRADE,1.0,1.0,123049.11,54432428278.82,233307.58,0.46,0.59,596,0,0.371
node,Module,UPGRADE,1.0,1.0,1308.44,4560367.45,2135.5,0.45,0.63,596,0,0.371
gitlabhq,Line,FEATURE,1.0,1.0,459.71,2183984.21,1477.83,0.64,0.72,1154,0,0.49
gitlabhq,Module,FEATURE,1.0,1.0,18.97,6582.77,81.13,0.7,0.78,1154,0,0.49
vue,Line,SUPPORT,1.0,1.0,43.1,14590.21,120.79,0.8,0.87,248,0,0.593
vue,Module,SUPPORT,1.0,1.0,2.03,38.83,6.23,0.82,0.91,248,0,0.593
neutron,Line,SUPPORT,1.0,1.0,2148.48,27007424.71,5196.87,0.53,0.63,203,0,0.437
neutron,Module,SUPPORT,1.0,1.0,29.26,4306.99,65.63,0.66,0.82,203,0,0.437
moby,Line,SUPPORT,1.0,1.0,1065.98,17963266.6,4238.31,0.65,0.69,319,0,0.558
moby,Module,SUPPORT,1.0,1.0,16.21,3442.71,58.67,0.68,0.77,319,0,0.558
roslyn,Line,OTHER,1.0,1.0,368395.55,1535335966773.27,1239086.75,0.5,0.59,102,0,0.307
roslyn,Module,OTHER,1.0,1.0,6492.93,776415484.53,27864.23,0.6,0.65,102,0,0.307
orleans,Line,OTHER,1.0,1.0,16687.02,2069205454.86,45488.52,0.32,0.45,114,0,0.297
orleans,Module,OTHER,1.0,1.0,661.67,3268003.61,1807.76,0.34,0.49,114,0,0.297
cli,Line,OTHER,1.0,1.0,108341.83,67076121552.36,258990.58,0.08,0.17,109,0,0.337
cli,Module,OTHER,1.0,1.0,548.32,1185727.95,1088.91,0.25,0.49,109,0,0.337
ansible,Line,SUPPORT,1.0,1.0,4056.8,243518612.47,15605.08,0.74,0.8,303,0,0.381
ansible,Module,SUPPORT,1.0,1.0,93.93,107260.45,327.51,0.79,0.89,303,0,0.381
home-assistant,Line,SUPPORT,1.0,1.0,1532.62,46693969.47,6833.3,0.78,0.82,560,0,0.591
home-assistant,Module,SUPPORT,1.0,1.0,30.17,26494.27,162.77,0.81,0.87,560,0,0.591
tensorflow,Line,OTHER,1.0,1.0,353352.54,768045361032.56,876381.97,0.08,0.13,106,0,0.156
tensorflow,Module,OTHER,1.0,1.0,4918.5,169460942.14,13017.72,0.16,0.26,106,0,0.156
angular,Line,RELEASE,1.0,1.0,167.93,142923.32,378.05,0.23,0.4,411,0,0.406
angular,Module,RELEASE,1.0,1.0,3.15,35.15,5.93,0.54,0.72,411,0,0.406
vue,Line,OTHER,1.0,1.0,6591.02,115222843.1,10734.19,0.21,0.29,248,0,0.412
vue,Module,OTHER,1.0,1.0,26.53,4556.02,67.5,0.43,0.68,248,0,0.412
node,Line,RELEASE,1.0,1.0,132.65,112244.52,335.03,0.65,0.75,596,0,0.409
node,Module,RELEASE,1.0,1.0,3.95,93.49,9.67,0.72,0.81,596,0,0.409
neutron,Line,OTHER,1.0,1.0,213654.98,413709785345.83,643202.76,0.28,0.41,203,0,0.279
neutron,Module,OTHER,1.0,1.0,531.01,1364209.53,1167.99,0.52,0.75,203,0,0.279
gitlabhq,Line,UPGRADE,1.0,1.0,510.71,3882943.03,1970.52,0.62,0.67,1154,0,0.501
gitlabhq,Module,UPGRADE,1.0,1.0,8.82,1325.33,36.41,0.68,0.78,1154,0,0.501
moby,Line,OTHER,1.0,1.0,26297.77,6187411936.34,78660.1,0.24,0.33,319,0,0.434
moby,Module,OTHER,1.0,1.0,299.58,946379.46,972.82,0.29,0.49,319,0,0.434
angular,Line,SUPPORT,1.0,1.0,254.46,528264.2,726.82,0.66,0.7,411,0,0.576
angular,Module,SUPPORT,1.0,1.0,4.23,96.23,9.81,0.71,0.74,411,0,0.576
ansible,Line,OTHER,1.0,1.0,112359.27,94231499499.63,306971.5,0.4,0.5,303,0,0.202
ansible,Module,OTHER,1.0,1.0,2003.17,30966247.32,5564.73,0.52,0.67,303,0,0.202
nova,Line,BUG,1.0,1.0,22213.13,3336604949.75,57763.35,0.44,0.63,234,0,0.198
nova,Module,BUG,1.0,1.0,220.87,1018649.38,1009.28,0.61,0.82,234,0,0.198
angular.js,Line,BUG,1.0,1.0,11558.34,773365068.22,27809.44,0.25,0.5,204,0,0.127
angular.js,Module,BUG,1.0,1.0,199.31,192270.1,438.49,0.5,0.75,204,0,0.127
home-assistant,Line,OTHER,1.0,1.0,14389.09,2496769257.09,49967.68,0.19,0.32,560,0,0.373
home-assistant,Module,OTHER,1.0,1.0,1095.22,30597110.48,5531.47,0.3,0.47,560,0,0.373
lock,Line,BUG,1.0,1.0,2878.58,172743558.58,13143.19,0.57,0.62,492,0,0.527
lock,Module,BUG,1.0,1.0,55.03,45444.8,213.18,0.61,0.7,492,0,0.527
node,Line,SUPPORT,1.0,1.0,3332.2,86741098.14,9313.49,0.48,0.6,596,0,0.403
node,Module,SUPPORT,1.0,1.0,16.05,961.86,31.01,0.64,0.79,596,0,0.403
kubernetes,Line,BUG,1.0,1.0,38180.43,15422156060.11,124185.97,0.49,0.59,641,0,0.36
kubernetes,Module,BUG,1.0,1.0,552.0,2536357.76,1592.59,0.54,0.66,641,0,0.36
Odin,Line,BUG,1.0,1.0,1204.66,3326910.47,1823.98,0.23,0.43,35,0,0.422
Odin,Module,BUG,1.0,1.0,27.15,2250.6,47.44,0.31,0.57,35,0,0.422
mesos,Line,BUG,1.0,1.0,582.52,2947964.08,1716.96,0.56,0.74,257,0,0.404
mesos,Module,BUG,1.0,1.0,12.23,792.43,28.15,0.72,0.88,257,0,0.404
gitlabhq,Line,RELEASE,1.0,1.0,77.07,113331.92,336.65,0.73,0.76,1154,0,0.575
